,Q1,Q2,Q3,Q4,Q5
2013-06-30,-0.13539685434205231,-0.15776741330645164,-0.16191684920160965,-0.1642185753307863,-0.131586423831336
2013-07-31,0.061931722385915496,0.05786446238758065,0.06651327739617707,0.07652605983870968,0.08356660477263582
2013-08-31,0.06334718078672032,0.07250372339112902,0.08644047356539236,0.0901789436108871,0.11237102941951711
2013-09-30,0.051497516241448694,0.054262803686028226,0.05368850206036217,0.055455955572580644,0.06307394016297786
2013-10-31,-0.05497271409456741,-0.01557649506639839,-0.01491827372782258,-0.007109267863179074,-0.01940060284104628
2013-11-30,0.0791454387082495,0.09233840455734407,0.08512031414516129,0.07838909949496982,0.08886222478873239
2013-12-31,-0.04463256447686117,-0.030832209774647887,-0.022982719794354838,-0.030926777472837022,-0.0275428183943662
2014-01-31,0.05275580059557344,0.027537495782696177,0.01687257375050302,0.0038562945251509064,0.00884237574245473
2014-02-28,0.038526631492094864,0.03274272554851485,0.0494091005909091,0.028299395738613863,0.052737092717391305
2014-03-31,-0.06377231195059288,-0.028001750873267325,-0.014816429420866141,-0.007662873479125249,-0.005230498749011858
2014-04-30,-0.015157006189230769,-0.00869221971027668,-0.006668382599605523,-0.013287811843873518,-0.015451681380670611
2014-05-31,0.033534176679487174,0.02411963372588933,0.026537316548027615,0.026198805944664033,0.03626583515167653
2014-06-30,0.05960673816252465,0.048881796780039524,0.03950688021558185,0.040724877725494074,0.048303505563313615
2014-07-31,0.03766091106037401,0.06836158259092702,0.0851698347061144,0.08624103149349112,0.09663729093307087
2014-08-31,0.04089223142862745,0.0526946380388998,0.06359074096070727,0.0741544182416503,0.07388004871217485
2014-09-30,0.13285949111350295,0.14029725499999998,0.13787140382426613,0.1509189431037182,0.12530784142465753
2014-10-31,0.011642345749027236,0.016039673475633526,0.019781586341130603,0.02618083281676413,0.025104099097465887
2014-11-30,0.07141786647001934,0.06713786317441861,0.06471346970348837,0.05847247574031007,0.05046895234496124
2014-12-31,-0.043262437515444015,-0.03953874481660232,-0.030359925203094777,-0.009858914250965252,-0.020113114420849423
2015-01-31,0.0626822167835249,0.06575855296168583,0.08019062746743295,0.08342084918965517,0.08439822266666666
2015-02-28,0.11047365400948767,0.07421574726996198,0.0691013900967742,0.060631336741444865,0.06478996192789374
2015-03-31,0.24152664421016948,0.220079479945283,0.21721675715660377,0.2171995416018868,0.20000333718679247
2015-04-30,0.2162188651266791,0.17712513577009348,0.16841756219589551,0.1707043051624299,0.16893294796585823
2015-05-31,0.4719722952745387,0.25075639866806276,0.24822860359667898,0.2684520908319847,0.24993204527651292
2015-06-30,-0.1782023827660617,-0.11674577118839746,-0.05730276328369091,-0.04442689456823957,0.016292150448275863
2015-07-31,-0.12581076767464286,-0.1323016190176315,-0.16166200386928573,-0.1602523235763864,-0.13855100832732145
2015-08-31,-0.16448523154616754,-0.14294095735035714,-0.1269235554976827,-0.1059703748767857,-0.09799708023796791
2015-09-30,-0.04534666380374332,-0.04161179482305357,-0.03777206034438503,-0.0257936309875,-0.010295402868092692
2015-10-31,0.22252704599821746,0.19671774239589288,0.18771214651122994,0.1961746916465,0.20715696303208556
2015-11-30,0.12997260593761142,0.13420723244821428,0.11052462914741533,0.09637111890714285,0.09814085624777183
2015-12-31,0.015926167174688057,0.06811891654901961,0.06608897269642858,0.09447668485561497,0.09484075770053477
2016-01-31,-0.27371318617460316,-0.2892213030388693,-0.263340361026455,-0.2500712154116608,-0.2690017479206349
2016-02-29,-0.026480333740917107,-0.02609745952733686,-0.015383765620141343,-0.016973488112874777,-0.010839160470899471
2016-03-31,0.1566627497261863,0.17543972858274648,0.18698906984683097,0.19513303320105635,0.1904034123450704
2016-04-30,-0.012880696773776224,-0.008988704903152364,-0.002700192514886165,0.0018575397295971978,0.023316770627779718
2016-05-31,-0.004762910447247386,-0.01079583363048691,-0.004817949642931936,-0.016297034669214658,-0.009324165668205575
2016-06-30,0.09747783110909879,0.06207497767291666,0.055100930007560764,0.052624892869097224,0.04553979706927083
2016-07-31,-0.029761880854404146,-0.0012432391647668396,0.003982592813321799,0.01201105804853195,0.013402796501398964
2016-08-31,0.04503519339655173,0.04464492575896552,0.04703035300863558,0.047075539650000005,0.05581367588206897
2016-09-30,-0.016413102035844826,-0.008056778267241379,-0.007483680074265976,-0.005281121415517242,-0.002947562468965517
2016-10-31,0.03929600951206897,0.032947447474137935,0.03405843468739206,0.03317678027586207,0.04563616770862069
2016-11-30,0.019959826512068967,0.02381659893275862,0.032034267658031086,0.03601765205517241,0.03672483647068966
2016-12-31,-0.06663991443965517,-0.04858866081724138,-0.04457462045768566,-0.031528525122413796,-0.03519411459137931
2017-01-31,-0.04182946474054983,-0.022607280529209624,-0.019454716840206186,-0.012704042994845361,-0.02439136178178694
2017-02-28,0.0890560913585209,0.040079354980707395,0.039895130655394524,0.042758810321543404,0.04907271531350482
2017-03-31,0.0007358756333333336,-0.024335763432432433,-0.013555320596184419,-0.015778004025437203,-0.0168698354015873
2017-04-30,-0.060351451525821595,-0.04674685396713615,-0.052852830309859156,-0.050468850173708925,-0.06152145248356807
2017-05-31,-0.07709269643148206,-0.06257770895554063,-0.06424468585562501,-0.076337618840625,-0.08029759715332813
2017-06-30,0.02736033761793893,0.040041986091590216,0.040922096215443425,0.03513707993746177,0.03458285794266055
2017-07-31,-0.01076906992039275,-0.003643294159546143,0.00035308770645990943,-0.0028480900930211803,-0.021835066763746226
2017-08-31,0.0633552050508982,0.02452736764167916,0.0340199344035982,0.03746220684467766,0.06688075888006871
2017-09-30,0.00624663077994012,0.01651468567916042,0.020760802545727135,0.01620437248275862,0.01619200319011976
2017-10-31,-0.01710145196920821,-0.014315433101321585,-0.013604808227606461,-0.010586166659324523,-0.012909353055718473
2017-11-30,-0.07198988175436047,-0.06179292443522562,-0.06067072632703488,-0.05966790854730713,-0.06361642732848836
2017-12-31,-0.02151499573381295,-0.008103488341007194,-0.013760442148414986,-0.02071683710791367,-0.018253342968345323
