,equity,nav
2020-03-12,1637127.168186324,1.637127168186324
2020-03-13,1610873.4631617214,1.6108734631617214
2020-03-16,1654831.9691984244,1.6548319691984243
2020-03-17,1655300.6157713246,1.6553006157713246
2020-03-18,1636487.4042971034,1.6364874042971034
2020-03-19,1613705.0033274698,1.6137050033274698
2020-03-20,1564797.3974733723,1.5647973974733722
2020-03-23,1498502.9504496807,1.4985029504496807
2020-03-24,1474027.5092605355,1.4740275092605355
2020-03-25,1438130.096967182,1.438130096967182
2020-03-26,1450146.577054211,1.450146577054211
2020-03-27,1430488.5262002405,1.4304885262002405
2020-03-30,1426044.9306757674,1.4260449306757674
2020-03-31,1437691.0969823494,1.4376910969823493
2020-04-01,1454459.4328552538,1.4544594328552538
2020-04-02,1452669.666086922,1.4526696660869218
2020-04-03,1486649.7033219277,1.4866497033219277
2020-04-07,1502993.5936761918,1.5029935936761918
2020-04-08,1455971.4761432554,1.4559714761432554
2020-04-09,1484673.5970500698,1.4846735970500697
2020-04-10,1470305.1518817446,1.4703051518817447
2020-04-13,1462047.222769265,1.4620472227692651
2020-04-14,1489944.4374836097,1.4899444374836097
2020-04-15,1480923.2027140798,1.4809232027140797
2020-04-16,1487582.9007361261,1.487582900736126
2020-04-17,1452702.341085147,1.4527023410851472
2020-04-20,1448264.6269130623,1.4482646269130623
2020-04-21,1497975.50915761,1.49797550915761
2020-04-22,1517933.461624707,1.517933461624707
2020-04-23,1468158.40266466,1.46815840266466
2020-04-24,1504083.136076048,1.504083136076048
2020-04-27,1481581.561109339,1.4815815611093388
2020-04-28,1456824.2315252107,1.4568242315252107
2020-04-29,1468912.7276305952,1.468912727630595
2020-04-30,1427180.9131533725,1.4271809131533726
2020-05-06,1420579.7208014624,1.4205797208014623
2020-05-07,1424722.3956011874,1.4247223956011874
2020-05-08,1440484.462444363,1.440484462444363
2020-05-11,1429266.6752733293,1.4292666752733292
2020-05-12,1428797.4139067023,1.4287974139067023
2020-05-13,1452157.1389350602,1.4521571389350603
2020-05-14,1454185.7685602633,1.4541857685602633
2020-05-15,1434957.3331859712,1.4349573331859713
2020-05-18,1444766.5006353324,1.4447665006353325
