,2019-12-31
603297.SH,0.0013386880856760374
603076.SH,0.0013386880856760374
603326.SH,0.0013386880856760374
603327.SH,0.0013386880856760374
603328.SH,0.0013386880856760374
603330.SH,0.0013386880856760374
603331.SH,0.0013386880856760374
603103.SH,0.0013386880856760374
603043.SH,0.0013386880856760374
603045.SH,0.0013386880856760374
603059.SH,0.0013386880856760374
603060.SH,0.0013386880856760374
603068.SH,0.0013386880856760374
002137.SZ,0.0013386880856760374
002106.SZ,0.0013386880856760374
002111.SZ,0.0013386880856760374
002115.SZ,0.0013386880856760374
002167.SZ,0.0013386880856760374
002168.SZ,0.0013386880856760374
002126.SZ,0.0013386880856760374
002129.SZ,0.0013386880856760374
002132.SZ,0.0013386880856760374
002011.SZ,0.0013386880856760374
002013.SZ,0.0013386880856760374
002152.SZ,0.0013386880856760374
002153.SZ,0.0013386880856760374
002155.SZ,0.0013386880856760374
002159.SZ,0.0013386880856760374
002037.SZ,0.0013386880856760374
002038.SZ,0.0013386880856760374
002004.SZ,0.0013386880856760374
002007.SZ,0.0013386880856760374
002008.SZ,0.0013386880856760374
603088.SH,0.0013386880856760374
603096.SH,0.0013386880856760374
603180.SH,0.0013386880856760374
603185.SH,0.0013386880856760374
603113.SH,0.0013386880856760374
603118.SH,0.0013386880856760374
603127.SH,0.0013386880856760374
601886.SH,0.0013386880856760374
601888.SH,0.0013386880856760374
603138.SH,0.0013386880856760374
603161.SH,0.0013386880856760374
601966.SH,0.0013386880856760374
601988.SH,0.0013386880856760374
601801.SH,0.0013386880856760374
601857.SH,0.0013386880856760374
601858.SH,0.0013386880856760374
601877.SH,0.0013386880856760374
002223.SZ,0.0013386880856760374
002199.SZ,0.0013386880856760374
002203.SZ,0.0013386880856760374
002212.SZ,0.0013386880856760374
002221.SZ,0.0013386880856760374
002101.SZ,0.0013386880856760374
002104.SZ,0.0013386880856760374
002232.SZ,0.0013386880856760374
002120.SZ,0.0013386880856760374
002085.SZ,0.0013386880856760374
002089.SZ,0.0013386880856760374
002093.SZ,0.0013386880856760374
601901.SH,0.0013386880856760374
601928.SH,0.0013386880856760374
601933.SH,0.0013386880856760374
601958.SH,0.0013386880856760374
