,nav
2022-06-23,1.1159254673646983
2022-06-24,1.1174304026900925
2022-06-27,1.1166534739339582
2022-06-28,1.118000438272423
2022-06-29,1.1208251303378975
2022-06-30,1.1236997507152249
2022-07-01,1.122613664549343
2022-07-04,1.1210654092398147
2022-07-05,1.12228092815209
2022-07-06,1.1176182993783097
2022-07-07,1.1144871903248552
2022-07-08,1.1185777610771406
2022-07-11,1.118662800267036
2022-07-12,1.1257067032139463
2022-07-13,1.1207913697120049
2022-07-14,1.1113309387549017
2022-07-15,1.1012498956514938
2022-07-18,1.1004023751521022
2022-07-19,1.1027907309711809
2022-07-20,1.1030078542274608
2022-07-21,1.1020307995742014
2022-07-22,1.1020307995742014
2022-07-25,1.0986399451120703
2022-07-26,1.097979218767914
2022-07-27,1.1009675081985864
2022-07-28,1.105727288614468
2022-07-29,1.1131506645046534
2022-08-01,1.11580030083137
2022-08-02,1.1146029105935416
2022-08-03,1.1144630747562527
2022-08-04,1.1191750186737404
2022-08-05,1.121467235715419
2022-08-08,1.1200734516009583
2022-08-09,1.1207748989383952
2022-08-10,1.1196791093832998
2022-08-11,1.1240586017655259
2022-08-12,1.1265011358782728
2022-08-15,1.1322461243309276
2022-08-16,1.1341571163911464
2022-08-17,1.1325031428324697
2022-08-18,1.1284127574608056
2022-08-19,1.1288465266240995
2022-08-22,1.1248923779362283
2022-08-23,1.1224918705996831
2022-08-24,1.1251966638939135
2022-08-25,1.130244574334488
2022-08-26,1.1317257120605924
2022-08-29,1.1177601032327797
2022-08-30,1.1214919554843137
2022-08-31,1.1150396944975947
2022-09-01,1.106488062073723
2022-09-02,1.1088070856482133
2022-09-05,1.1157386896165213
2022-09-06,1.119815742814522
2022-09-07,1.1146819809891106
2022-09-08,1.1187747210047927
2022-09-09,1.1280423696549164
2022-09-13,1.1273407650384293
2022-09-14,1.1231821942317017
2022-09-15,1.1253485213224546
2022-09-16,1.1004960825722954
2022-09-19,1.0983015851874485
2022-09-20,1.0990536110791764
2022-09-21,1.0966793579067213
2022-09-22,1.0966686146796965
2022-09-23,1.0970123979444864
2022-09-26,1.0961529397825118
2022-09-27,1.0945414557288093
2022-09-28,1.0956050352042528
2022-09-29,1.0950786170800435
2022-09-30,1.0953901706637594
2022-10-10,1.1003739317477377
2022-10-11,1.0991183342962487
2022-10-12,1.1001258264478977
2022-10-13,1.101433033434795
2022-10-14,1.100976982116058
2022-10-17,1.098087677881223
2022-10-18,1.0997011605702585
2022-10-19,1.0977425439129171
2022-10-20,1.0957422131653651
2022-10-21,1.0950318719564391
2022-10-24,1.094911418450524
2022-10-25,1.0954151364343847
2022-10-26,1.0952329405678818
2022-10-27,1.0969477251937905
2022-10-28,1.094857831430964
2022-10-31,1.0990547770865113
2022-11-01,1.0998779592967716
2022-11-02,1.0996657740309472
2022-11-03,1.0947773867185593
2022-11-04,1.0931164831428157
2022-11-07,1.0983240725905377
2022-11-08,1.1014790824444776
2022-11-09,1.1154816997080246
2022-11-10,1.1124951725080785
2022-11-11,1.1238836172494326
2022-11-14,1.1157645151681104
2022-11-15,1.119443431773689
2022-11-16,1.12472087059471
2022-11-17,1.124875109898218
2022-11-18,1.1233623497308183
2022-11-21,1.1217133915568724
2022-11-22,1.120420003916187
2022-11-23,1.122900907325044
2022-11-24,1.1275439170713195
2022-11-25,1.1303715806024937
2022-11-28,1.129396412101324
2022-11-29,1.1258336605163632
2022-11-30,1.1244929252144757
2022-12-01,1.129291838710104
2022-12-02,1.1324765325902388
2022-12-05,1.1412479700540472
2022-12-06,1.1350657258799364
2022-12-07,1.1302906487350954
2022-12-08,1.130566236541864
2022-12-09,1.1331503811291914
2022-12-12,1.1280148565687769
2022-12-13,1.1315945469698963
2022-12-14,1.1316033978703224
2022-12-15,1.1257003709493474
2022-12-16,1.1254929384635863
2022-12-19,1.12538290000168
2022-12-20,1.126479422431333
2022-12-21,1.1254048304502728
2022-12-22,1.1259311612165064
2022-12-23,1.12538290000168
2022-12-26,1.12538290000168
2022-12-27,1.1253719347773834
2022-12-28,1.125821508973541
2022-12-29,1.1256022044876106
2022-12-30,1.1264794224313333
2023-01-03,1.1268083791602292
2023-01-04,1.127674631879655
2023-01-05,1.1282557887673714
2023-01-06,1.1264903876556298
2023-01-09,1.132780471736956
2023-01-10,1.1330037595591795
2023-01-11,1.134415315096164
2023-01-12,1.1336739102344007
2023-01-13,1.1345646739489534
2023-01-16,1.1380779025021497
2023-01-17,1.141483006659322
2023-01-18,1.1396411658948784
2023-01-19,1.1420332389588121
2023-01-20,1.1462639986729035
2023-01-30,1.144787676750327
2023-01-31,1.1381945535296103
2023-02-01,1.1468115255703777
2023-02-02,1.147851024295197
2023-02-03,1.1386205430184377
2023-02-06,1.1259290491603529
2023-02-07,1.1257360294248913
2023-02-08,1.1231260826481788
2023-02-09,1.1277921842056657
2023-02-10,1.126034599217897
2023-02-13,1.134573498693648
2023-02-14,1.1403237513339846
2023-02-15,1.138929763491725
2023-02-16,1.141441749874758
2023-02-17,1.1282297561323391
2023-02-20,1.1485127320502702
2023-02-21,1.152496727421377
2023-02-22,1.1420719414349694
2023-02-23,1.1420597145760552
2023-02-24,1.142917843560929
2023-02-27,1.1386554898066863
2023-02-28,1.1457737357545221
2023-03-01,1.1531286501353346
2023-03-02,1.1542691163882488
2023-03-03,1.1706181046277688
2023-03-06,1.1691984501733481
2023-03-07,1.1661109365998872
2023-03-08,1.167006374615367
