canary_k,top_k,vol_target,max_single,sma_buffer,sma_lb,ann,sharpe,mdd,ymin
4,3,0.07,0.4,0.005,40,0.11541954959015244,1.6294398124472924,-0.07063714403536159,0.006273764179637986
4,3,0.07,0.45,0.0,35,0.11293362561861797,1.5491676231899225,-0.0791997534184008,-0.006102918118261247
4,3,0.07,0.45,0.0,38,0.11157144142252573,1.5363493444316694,-0.07919975341840002,-0.005722738640644542
4,3,0.07,0.45,0.0,40,0.11487071281798333,1.5837001716593568,-0.07919975341840013,-0.0057227386406453196
4,3,0.07,0.45,0.002,35,0.11504992988033691,1.5909616780314093,-0.07575193890782783,-0.006102918118261025
4,3,0.07,0.45,0.002,38,0.11479991015683355,1.5897985951780886,-0.07919975341839947,-0.002804085001909762
4,3,0.07,0.45,0.002,40,0.11458589474884318,1.5861021855158184,-0.07919975341839947,-0.002804085001909762
4,3,0.07,0.45,0.003,35,0.11517642193323452,1.592850204591144,-0.07513141903891796,-0.005435637424990869
4,3,0.07,0.45,0.003,38,0.1157240489863458,1.6032365204742542,-0.0736224996243332,-0.002804085001909762
4,3,0.07,0.45,0.003,40,0.11365868854553018,1.5744071386630796,-0.0736224996243332,-0.002804085001909762
4,3,0.07,0.45,0.004,35,0.11991707338611213,1.6697700499104382,-0.074550663640357,0.006273764179637986
4,3,0.07,0.45,0.004,38,0.11285032392578831,1.5632067848732003,-0.07455066364035567,-0.003190390647280994
4,3,0.07,0.45,0.004,40,0.11229655081781575,1.5557211736707086,-0.07455066364035567,-0.003190390647280994
4,3,0.07,0.45,0.005,35,0.11921015027396864,1.6598918124373652,-0.07455066364035745,0.006273764179637986
4,3,0.07,0.45,0.005,38,0.11665663020571237,1.6174598481723355,-0.07455066364035667,0.006273764179637986
4,3,0.07,0.45,0.005,40,0.11565354973565967,1.603867253209506,-0.07455066364035656,0.006273764179637986
4,3,0.075,0.35,0.0,35,0.11689908505922397,1.6166544426098597,-0.07173546470215664,0.000778231745168112
4,3,0.075,0.35,0.0,38,0.11397628752363786,1.5831505614454466,-0.07173546470215564,-0.007405279684844945
4,3,0.075,0.35,0.0,40,0.11716740257130254,1.630603504030515,-0.07173546470215642,-0.007405279684846167
4,3,0.075,0.35,0.002,35,0.11874449546834898,1.656711744220322,-0.06790489708201197,0.0007782317451643372
4,3,0.075,0.35,0.002,38,0.11856862263741741,1.6582805697278866,-0.07173546470215653,0.0043378437097088
4,3,0.075,0.35,0.002,40,0.11855091734665968,1.6567475166943455,-0.07173546470215653,0.0043378437097088
4,3,0.075,0.35,0.003,35,0.11888050875735612,1.6587788090569962,-0.0679048970820112,0.0014983356825868377
4,3,0.075,0.35,0.003,38,0.11932971859071317,1.6689168131284915,-0.06790489708201142,0.0043378437097088
4,3,0.075,0.35,0.003,40,0.11710976183623467,1.637597693663886,-0.06790489708201142,0.0043378437097088
4,3,0.075,0.35,0.004,35,0.12388635831410943,1.7425277196394668,-0.06790489708201186,0.006351707620900537
4,3,0.075,0.35,0.004,38,0.11627527394542603,1.6260927599186468,-0.06790489708201064,0.004767499713886236
4,3,0.075,0.35,0.004,40,0.11570952371265064,1.6185852281023105,-0.06790489708201064,0.004767499713886236
4,3,0.075,0.35,0.005,35,0.12266412121970616,1.7287981234766756,-0.06790489708201053,0.006351707620900537
4,3,0.075,0.35,0.005,38,0.12018149488355778,1.6817492687655329,-0.0679048970820112,0.006351707620900537
4,3,0.075,0.35,0.005,40,0.11913328530527445,1.667623295743166,-0.06790489708201097,0.006351707620900537
4,3,0.075,0.4,0.0,35,0.1173559397729953,1.5754327727757411,-0.07621441426950692,-0.0014978812441635014
4,3,0.075,0.4,0.0,38,0.11446779721484845,1.542937858773621,-0.07621441426950726,-0.009027485422097414
4,3,0.075,0.4,0.0,40,0.11799195273374341,1.5923536848603006,-0.07621441426950726,-0.009027485422097192
4,3,0.075,0.4,0.002,35,0.11937511792870303,1.6160151314029483,-0.07157597022683226,-0.0014978812441639455
4,3,0.075,0.4,0.002,38,0.11936275739922197,1.6184266460295276,-0.07621441426950692,0.0020536349417450417
4,3,0.075,0.4,0.002,40,0.11938936562403879,1.6174278159978575,-0.07621441426950692,0.0020536349417450417
4,3,0.075,0.4,0.003,35,0.1195112078867222,1.618013103788751,-0.07157597022683182,-0.000779415070108036
4,3,0.075,0.4,0.003,38,0.12033734960084641,1.6315809399672048,-0.07157597022683204,0.0020536349417450417
4,3,0.075,0.4,0.003,40,0.11811539442364527,1.6012029853001581,-0.07157597022683204,0.0020536349417450417
4,3,0.075,0.4,0.004,35,0.12467744323837793,1.7001271395712276,-0.07157597022683149,0.006185136041395145
4,3,0.075,0.4,0.004,38,0.11720175180728454,1.5888676107759057,-0.07157597022683182,0.0021616465965546006
4,3,0.075,0.4,0.004,40,0.11660784964447246,1.5810908451286074,-0.07157597022683182,0.0021616465965546006
4,3,0.075,0.4,0.005,35,0.12322561867730397,1.6819417224747966,-0.07157597022683171,0.006185136041395145
4,3,0.075,0.4,0.005,38,0.12097671999722448,1.6410954268476217,-0.07157597022683215,0.006185136041395145
4,3,0.075,0.4,0.005,40,0.11990004841254831,1.6268990233354617,-0.07157597022683204,0.006185136041395145
4,3,0.075,0.45,0.0,35,0.1178467293452361,1.548946217804528,-0.08000092363253086,-0.002369628544685476
4,3,0.075,0.45,0.0,38,0.11507207884721282,1.5182600022083124,-0.08000092363253086,-0.009257973580618195
4,3,0.075,0.45,0.0,40,0.11877006971466919,1.5678345567336094,-0.08000092363253108,-0.009257973580620305
4,3,0.075,0.45,0.002,35,0.1200353811604793,1.590555046311155,-0.07534204684573287,-0.002369628544681812
4,3,0.075,0.45,0.002,38,0.12002654603245544,1.5916904711446143,-0.08000092363253186,0.001178786972138246
4,3,0.075,0.45,0.002,40,0.12000338722645854,1.5902615448837938,-0.08000092363253186,0.001178786972138246
4,3,0.075,0.45,0.003,35,0.12017155139113855,1.592506305667865,-0.07467671479541904,-0.0016517896311345481
