abs_lb,sma_lb,abs_margin,require_abs_pos,sma_buffer,sma_slope_lb,ann,sharpe,mdd,vol,ymin,y2020,y2021,y2022,y2023,y2024,y2025,y2026
4,40,0.04,True,0.0,0,0.12457248781288555,1.6635205078514674,-0.0648814864420808,0.07488485247096718,0.021380844477893346,0.021380844477893346,0.12719175134563931,0.04646398156931353,0.1284089991958477,0.12165973129357188,0.1589894734535846,0.10363620494231851
4,40,0.04,False,0.0,0,0.12457248781288555,1.6635205078514674,-0.0648814864420808,0.07488485247096718,0.021380844477893346,0.021380844477893346,0.12719175134563931,0.04646398156931353,0.1284089991958477,0.12165973129357188,0.1589894734535846,0.10363620494231851
4,40,0.03,True,0.0,0,0.11144899525213137,1.4128336506903352,-0.10117160794500879,0.0788833102875738,-0.006921868633568695,0.0224331293908151,0.0881298133335,-0.006921868633568695,0.1848172474285399,0.08733625616857621,0.21371410122033652,0.05609416977316428
4,40,0.05,False,0.0,0,0.1147732244846309,1.5818482931230091,-0.06353350517854706,0.07255640441855304,0.021380844477893346,0.021380844477893346,0.13851378331256714,0.059188114969200845,0.11618373692600859,0.09344371964929898,0.11293119330381218,0.10921128441486339
4,40,0.0,False,0.002,0,0.17762583947754051,2.1646366288568393,-0.08717830172693097,0.08205804018540795,0.003534366543759715,0.04740850142360342,0.08400974869798827,0.003534366543759715,0.21609145722731182,0.2763796989453924,0.30034759494739305,0.10249945513168379
4,40,0.05,True,0.0,0,0.1147732244846309,1.5818482931230091,-0.06353350517854706,0.07255640441855304,0.021380844477893346,0.021380844477893346,0.13851378331256714,0.059188114969200845,0.11618373692600859,0.09344371964929898,0.11293119330381218,0.10921128441486339
4,40,0.0,False,0.005,0,0.1747028818244869,2.1362065622954063,-0.0895144377605781,0.08178182995410536,0.0009660744017994105,0.04740850142360342,0.0755216613979135,0.0009660744017994105,0.22196507978888746,0.2480873204840639,0.30034759494739305,0.11790776799990343
4,40,0.0,False,0.01,0,0.1442691681584587,1.75598877839223,-0.11053602518805361,0.0821583656648139,-0.051130369037492907,0.05027540715006107,0.03187211351500374,-0.051130369037492907,0.22108417486414766,0.22866233621145193,0.2822424416364371,0.08835203051478202
4,40,0.0,False,0.008,0,0.1608174288612092,1.9426226973492553,-0.09982537469476405,0.08278366616463792,-0.031108821109737117,0.04740850142360342,0.061177993163499034,-0.031108821109737117,0.21957722215043463,0.24426517713883533,0.2961482353554685,0.10301467263802477
4,40,0.0,False,0.015,0,0.14010130618825745,1.7259734664681563,-0.07833391201002049,0.08117234065883148,-0.02369451185189464,0.05027540715006107,0.019782642664321726,-0.02369451185189464,0.22532678850904309,0.20112759371803457,0.28823711546119535,0.06365769231514151
4,40,0.0,False,0.02,0,0.12004763817128716,1.5436570248720518,-0.09467433482441845,0.077768335994997,-0.036341375209966276,0.04546667890657741,-0.015525800562074976,-0.036341375209966276,0.23177364795910016,0.16171701255833404,0.24689816161952294,0.07715725357872505
4,40,0.0,False,0.03,0,0.11702885232043392,1.4785352343473557,-0.08473854059142572,0.0791518860029683,-0.0028584807358358333,0.030558642168467154,0.029141750602302174,-0.0028584807358358333,0.21027748634668098,0.1285802732064547,0.20565029207925978,0.07786854953593658
4,40,0.0,False,0.05,0,0.0786811502598126,1.161090993903275,-0.08174538749693105,0.06776484416204778,0.019308346023585887,0.032052360520515855,0.05164722804184296,0.03346588784036486,0.16916224170636474,0.05770121985103627,0.019308346023585887,0.08834357372029866
4,40,0.0,False,0.0,5,0.16318889181808793,2.022516052544963,-0.06235457259179267,0.08068607990168723,-0.021337599562376353,0.029490851059108314,0.042334440529560924,-0.021337599562376353,0.23761299773212552,0.27005465919615945,0.3033360100688225,0.09863899910775342
4,40,0.0,False,0.0,3,0.15774431939111921,1.953632842344593,-0.057346555001667965,0.08074409682927278,-0.022987183068470585,0.029490851059108314,0.05265496060062236,-0.022987183068470585,0.23986529095836273,0.24758428860677673,0.31376546008291073,0.06958495916740448
4,40,0.0,False,0.0,10,0.1657251981917549,2.076674535571012,-0.0576899227530101,0.07980316383384858,-0.0010409072326145186,0.01263658003808854,0.04582379721011853,-0.0010409072326145186,0.21479182613801973,0.29504601664561414,0.32434119903614755,0.08571843970060522
4,40,0.0,False,0.0,8,0.16609790295235882,2.0733106301806616,-0.05814274617161175,0.08011240599190174,0.010667960377787722,0.01263658003808854,0.04376376056024189,0.010667960377787722,0.2156867821342885,0.2746201175637033,0.3183545167129893,0.09863899910775387
4,40,0.0,False,0.0,15,0.15056665132306102,1.8922241952912786,-0.0573504795239006,0.0795712536060684,-0.008287603073407368,-0.008287603073407368,0.025145432505365717,-0.0012175007456459719,0.20546659435693826,0.2874084921448339,0.3018355625853426,0.08279743346880308
4,40,0.0,False,0.0,20,0.15005424172217374,1.9648947429116719,-0.05681058843764997,0.07636757249389167,-0.01014576439803605,-0.01014576439803605,0.030176815767532617,0.010032649767868884,0.21518667113964107,0.24706054074342076,0.28924258473722375,0.10111472466991978
4,40,0.0,False,0.0,30,0.15110077212627893,2.0221040059358617,-0.056810588437650744,0.07472453033213151,0.005081853647812107,0.005081853647812107,0.04518363870942799,0.021458921858874103,0.18512618451330276,0.23001511305942257,0.309703627845225,0.0871789209932392
