tilt,dev,temp,ema,bond_c,ann,vol,sharpe,mdd,ymean,ystd,ymin,ymax,yrange,util,y2021,y2022,y2023,y2024,y2025
0.25,0.12,0.14,0.4,0.45,0.09584975428888387,0.06264917249248175,1.5299444585702449,-0.06702642664958369,0.10195774822724282,0.06442434785998205,0.0003558804467123089,0.17653575604982774,0.17617987560311543,0.3064313237779085,0.09330118506770657,0.0003558804467123089,0.12148396376012593,0.17653575604982774,0.11811195581184153
0.25,0.22,0.14,0.4,0.45,0.09634808113031124,0.06333981901667164,1.5211297194415965,-0.06705427375899509,0.10176581149544295,0.0642378313169904,0.0006288091445774135,0.17623560694047335,0.17560679779589594,0.3059171146754587,0.09256557992257552,0.0006288091445774135,0.12105440685286806,0.17623560694047335,0.11834465461672039
0.25,0.18,0.14,0.4,0.45,0.09634808113031124,0.06333981901667164,1.5211297194415965,-0.06705427375899509,0.10176581149544295,0.0642378313169904,0.0006288091445774135,0.17623560694047335,0.17560679779589594,0.3059171146754587,0.09256557992257552,0.0006288091445774135,0.12105440685286806,0.17623560694047335,0.11834465461672039
0.35,0.12,0.1,0.3,0.4,0.10592182567824127,0.07035932112487413,1.505441268972033,-0.08363289536542884,0.11540324106131661,0.06837317064135759,0.006778030752392583,0.19114835734411173,0.18437032659171915,0.3050866099548958,0.10356858638776223,0.006778030752392583,0.14115468906802597,0.19114835734411173,0.13436654175429052
0.25,0.15,0.14,0.4,0.45,0.09616846403061707,0.06333432064305054,1.5184257611701295,-0.06705427375899509,0.10176581149544295,0.0642378313169904,0.0006288091445774135,0.17623560694047335,0.17560679779589594,0.3050255845879589,0.09256557992257552,0.0006288091445774135,0.12105440685286806,0.17623560694047335,0.11834465461672039
0.35,0.15,0.1,0.3,0.45,0.09808559682990814,0.06645224251703868,1.4760314041284386,-0.0796533080330799,0.1062166258599246,0.06270557034238507,0.005552036360517487,0.17578984054875235,0.17023780418823486,0.3048712749053393,0.09965374103301605,0.005552036360517487,0.12608522938414501,0.17578984054875235,0.12400228197319207
0.25,0.18,0.14,0.3,0.35,0.10941948334669593,0.07294137531059892,1.5001017307497417,-0.08338491130593784,0.12012534424349752,0.07023859417173157,0.007897764650389494,0.19512496955014758,0.18722720489975808,0.3047161038360858,0.10607081982702993,0.007897764650389494,0.1449325992160828,0.19512496955014758,0.1466005679738378
0.25,0.22,0.14,0.3,0.35,0.10941948334669593,0.07294137531059892,1.5001017307497417,-0.08338491130593784,0.12012534424349752,0.07023859417173157,0.007897764650389494,0.19512496955014758,0.18722720489975808,0.3047161038360858,0.10607081982702993,0.007897764650389494,0.1449325992160828,0.19512496955014758,0.1466005679738378
0.25,0.18,0.1,0.3,0.35,0.1129777291532954,0.07454981102502208,1.515466338544779,-0.08583593399060163,0.12310726626580233,0.07209137043287316,0.007189560716899912,0.19715009219273583,0.18996053147583591,0.3046269027600288,0.1082304025750247,0.007189560716899912,0.15582519819345353,0.19715009219273583,0.14714107765089768
0.25,0.22,0.1,0.3,0.35,0.1129777291532954,0.07454981102502208,1.515466338544779,-0.08583593399060163,0.12310726626580233,0.07209137043287316,0.007189560716899912,0.19715009219273583,0.18996053147583591,0.3046269027600288,0.1082304025750247,0.007189560716899912,0.15582519819345353,0.19715009219273583,0.14714107765089768
