date,open,high,low,close,volume
2024-08-05,176.7213,178.2813,175.8106,176.5013,1620093.0
2024-08-06,176.8913,180.0813,176.6383,177.7613,909680.0
2024-08-07,179.2413,180.5065,176.7513,176.8613,711600.0
2024-08-08,177.9313,180.2413,177.6713,180.0813,622949.0
2024-08-09,179.7913,180.9813,179.0113,180.4313,508803.0
2024-08-12,180.6313,180.6913,179.4129,179.9113,634728.0
2024-08-13,180.6513,182.1913,180.3713,182.0813,538041.0
2024-08-14,182.0913,183.2341,181.9631,182.8813,489824.0
2024-08-15,184.8613,185.5013,184.3487,185.3713,615740.0
2024-08-16,185.0713,185.8713,184.9037,185.7013,610774.0
2024-08-19,185.7813,186.6713,185.5514,186.6713,586404.0
2024-08-20,186.4513,186.7697,186.1113,186.4213,1126198.0
2024-08-21,187.0213,187.5512,186.5713,187.3613,485144.0
2024-08-22,187.8413,188.1109,186.1813,186.7213,453387.0
2024-08-23,187.5313,188.4598,186.8513,188.3013,518962.0
2024-08-26,188.5113,189.1012,188.0463,188.4013,596700.0
2024-08-27,188.2613,188.9803,187.9913,188.9113,1046052.0
2024-08-28,188.6913,189.3513,187.342,188.2613,502036.0
2024-08-29,189.0313,190.4053,188.4173,189.1913,511519.0
2024-08-30,189.6213,190.9713,188.6813,190.8213,532400.0
2024-09-03,190.1113,190.3913,187.6413,188.3313,783420.0
2024-09-04,188.0313,189.0663,187.9013,188.5413,604256.0
2024-09-05,188.4613,188.6913,186.3913,187.2413,988331.0
2024-09-06,187.1513,187.7613,184.9214,185.1513,806135.0
2024-09-09,186.0513,187.7713,185.7013,187.2613,811338.0
2024-09-10,187.7113,187.8611,186.2513,187.6913,577496.0
2024-09-11,187.3313,188.2697,184.0513,188.0313,761650.0
2024-09-12,188.3113,189.3713,187.2713,189.2913,538965.0
2024-09-13,190.0913,191.0013,189.7713,190.5413,542451.0
2024-09-16,190.7913,191.7013,190.5814,191.5513,588610.0
2024-09-17,191.8713,192.1313,190.5313,191.1513,549718.0
2024-09-18,191.3213,192.8213,190.3813,190.5313,655948.0
2024-09-19,193.0013,193.1713,191.9336,192.5713,617126.0
2024-09-20,192.0213,192.6212,191.6219,192.3013,506052.0
2024-09-23,192.5713,193.0513,192.1813,192.9813,517258.0
2024-09-24,193.0113,193.0913,192.2313,192.7413,621310.0
2024-09-25,192.7613,193.0613,191.3913,191.8013,505159.0
2024-09-26,192.7913,193.0084,192.2813,192.8513,472605.0
2024-09-27,193.3064,193.9765,192.7164,192.8464,579239.0
2024-09-30,192.8664,193.7864,191.9204,193.6264,832111.0
2024-10-01,193.4264,193.4264,191.7164,192.5064,1226454.0
2024-10-02,192.4664,192.9221,191.5549,192.5164,566935.0
2024-10-03,191.8864,192.2764,191.0765,191.6464,550554.0
2024-10-04,192.7464,192.9164,191.5664,192.7864,501270.0
2024-10-07,192.2164,192.474,190.6464,191.0464,612895.0
2024-10-08,191.5764,192.5664,191.2749,192.3864,567247.0
2024-10-09,192.3864,194.6764,192.1264,194.4964,670710.0
2024-10-10,194.1864,194.2164,193.1764,193.7164,545952.0
2024-10-11,194.0764,195.4364,194.008,195.3164,524177.0
2024-10-14,195.5664,197.0864,195.2964,196.8864,620034.0
2024-10-15,196.5664,197.4164,195.5664,195.6864,808526.0
2024-10-16,195.9064,196.8464,195.4907,196.6564,571379.0
2024-10-17,197.2364,197.4064,196.4564,196.6664,534468.0
2024-10-18,196.9164,197.2364,196.3264,197.0864,509250.0
2024-10-21,196.8264,196.9464,195.1803,195.5564,1124200.0
2024-10-22,194.5664,195.5164,194.2086,195.2064,549379.0
2024-10-23,194.5564,195.1514,193.1364,194.0564,722186.0
2024-10-24,193.9664,194.0364,192.8877,193.4864,529776.0
2024-10-25,194.1464,194.403,192.2965,192.4564,564285.0
2024-10-28,193.0764,193.6654,193.0764,193.2664,502065.0
2024-10-29,192.7264,193.5264,192.2364,192.9164,528995.0
2024-10-30,192.6864,193.5364,192.4664,192.5564,524279.0
2024-10-31,191.7564,191.7564,189.7564,189.7564,1001315.0
2024-11-01,190.7164,191.8264,190.4264,190.5864,733776.0
2024-11-04,190.6964,191.1264,189.6614,190.2964,561476.0
2024-11-05,190.2764,192.0864,190.0664,192.0864,692700.0
2024-11-06,196.9364,197.2364,195.5964,196.9264,1322747.0
2024-11-07,197.5564,197.6864,196.9191,197.3164,1033802.0
2024-11-08,197.8664,199.2864,197.6364,198.6364,919778.0
2024-11-11,198.7864,199.3664,198.1665,198.3464,865354.0
2024-11-12,198.3864,198.5964,196.8164,197.1564,1071718.0
2024-11-13,197.1364,197.7262,196.5664,197.1764,752780.0
2024-11-14,197.2564,197.3064,195.6464,195.7864,1449071.0
2024-11-15,195.0764,195.4014,193.9964,194.2564,1248190.0
2024-11-18,194.4264,195.3864,194.0722,195.0364,786419.0
2024-11-19,193.9264,194.7663,193.0664,194.2064,867028.0
2024-11-20,194.4464,194.5064,192.9107,194.3064,742361.0
2024-11-21,195.0664,197.0364,194.3364,196.5664,773239.0
2024-11-22,196.7764,198.1564,196.7264,198.0264,675626.0
2024-11-25,199.0964,199.9264,198.8064,199.5164,948316.0
2024-11-26,199.4864,199.9514,198.7264,199.7964,765533.0
2024-11-27,200.0364,200.4364,199.2964,199.4464,762656.0
2024-11-29,199.6464,200.7664,199.5664,200.2464,449621.0
2024-12-02,200.3864,200.4664,199.1511,199.9864,1077871.0
2024-12-03,199.9864,200.0764,199.0864,199.4264,894531.0
2024-12-04,199.6164,199.6914,198.5372,199.0764,1067353.0
2024-12-05,199.1064,199.2064,198.3664,198.4564,875396.0
2024-12-06,198.6764,199.1064,198.4664,198.4664,1032975.0
2024-12-09,198.6964,198.8914,197.5564,197.7164,1181388.0
2024-12-10,197.3364,197.3364,196.1264,196.6964,3064527.0
2024-12-11,197.4264,197.5564,196.6464,196.6564,1261595.0
2024-12-12,196.7264,196.9364,196.0564,196.0564,1296076.0
2024-12-13,197.4664,198.0014,197.1264,197.6164,1636852.0
2024-12-16,197.9664,198.9964,197.8464,198.0364,1359114.0
2024-12-17,197.0364,197.3745,196.1446,196.7864,1455812.0
2024-12-18,196.6464,196.9464,191.5064,191.6064,1462969.0
2024-12-19,192.7364,193.4618,190.9764,191.0264,2097262.0
2024-12-20,190.5764,194.4764,190.3464,192.8764,1787881.0
2024-12-23,192.712,193.767,191.732,193.562,1812906.0
2024-12-24,194.102,195.642,193.792,195.582,981581.0
2024-12-26,195.012,196.402,194.962,196.122,1444922.0
2024-12-27,195.312,195.7319,193.627,194.712,1127858.0
2024-12-30,192.732,193.182,191.122,192.242,1728903.0
2024-12-31,192.842,193.192,191.712,192.272,1149286.0
2025-01-02,193.272,193.762,190.402,191.332,1183641.0
2025-01-03,192.052,192.942,191.332,192.612,923369.0
2025-01-06,193.162,193.992,191.922,192.332,1526189.0
2025-01-07,193.042,193.2519,191.042,191.652,832109.0
2025-01-08,191.622,192.332,190.5421,192.252,800143.0
2025-01-10,190.922,191.272,188.8854,189.282,1787955.0
2025-01-13,188.622,190.612,188.5092,190.562,1995376.0
2025-01-14,191.122,191.672,190.062,191.622,743993.0
2025-01-15,193.902,194.307,193.132,193.902,797858.0
2025-01-16,194.212,194.6716,193.6055,194.272,1142394.0
2025-01-17,195.662,196.122,195.192,195.592,1079799.0
2025-01-21,196.252,197.557,196.252,197.542,2110819.0
2025-01-22,198.192,198.287,197.472,197.522,760750.0
2025-01-23,197.632,198.852,197.3521,198.852,1147516.0
2025-01-24,198.812,199.252,198.432,198.712,937209.0
2025-01-27,196.472,198.422,196.472,198.382,1477044.0
2025-01-28,198.412,198.5895,197.522,197.852,784101.0
2025-01-29,197.682,198.5202,197.002,197.492,821965.0
2025-01-30,198.642,199.949,198.302,199.372,1079254.0
2025-01-31,200.092,200.6619,198.537,198.662,1039611.0
2025-02-03,196.232,198.7909,195.792,198.112,1409069.0
2025-02-04,197.692,198.8221,197.402,198.652,792348.0
2025-02-05,199.232,200.332,198.182,200.322,1726508.0
2025-02-06,200.702,200.702,199.062,199.982,1166202.0
2025-02-07,200.382,200.442,198.172,198.272,950704.0
2025-02-10,199.322,199.652,198.587,199.592,1141788.0
2025-02-11,199.392,200.702,199.142,200.632,638026.0
2025-02-12,198.822,199.8895,198.642,199.712,952083.0
2025-02-13,200.092,201.202,199.572,201.082,769677.0
2025-02-14,201.262,201.402,200.1865,200.302,674680.0
2025-02-18,200.072,200.742,199.442,200.742,1008971.0
2025-02-19,200.452,201.682,200.362,201.672,723536.0
2025-02-20,201.042,201.102,199.7592,200.612,952925.0
2025-02-21,200.232,200.232,198.1525,198.422,755958.0
2025-02-24,198.652,199.122,197.812,197.952,1053402.0
2025-02-25,198.162,199.062,197.462,198.582,899882.0
2025-02-26,198.902,199.352,197.392,198.022,677075.0
2025-02-27,198.322,199.587,196.702,196.792,766223.0
2025-02-28,197.152,199.732,196.052,199.572,982178.0
2025-03-03,200.262,200.532,196.4748,197.662,1226590.0
2025-03-04,196.872,197.292,194.142,194.592,2497991.0
2025-03-05,194.502,196.942,193.7021,196.372,1337968.0
2025-03-06,194.002,195.472,193.0721,194.192,1030148.0
2025-03-07,193.842,196.502,193.502,196.032,908915.0
2025-03-10,193.882,195.1077,191.082,192.532,1300115.0
2025-03-11,192.382,192.447,188.942,189.832,2925011.0
2025-03-12,190.662,190.7194,187.722,188.612,1732794.0
2025-03-13,188.392,189.062,186.1421,186.782,4437965.0
2025-03-14,187.752,189.742,187.232,189.522,915654.0
2025-03-17,188.832,192.142,188.832,191.532,955361.0
2025-03-18,191.052,191.342,189.562,190.302,668429.0
2025-03-19,190.672,192.632,190.342,191.772,709500.0
2025-03-20,190.632,192.241,190.322,190.942,701107.0
2025-03-21,189.862,190.702,188.957,190.612,802995.0
2025-03-24,192.192,193.192,191.972,192.932,780899.0
2025-03-25,193.212,193.242,191.6979,192.422,618033.0
2025-03-26,192.682,193.502,191.587,192.022,828197.0
2025-03-27,191.8097,192.6197,191.0947,191.9597,669633.0
2025-03-28,191.6297,192.0197,189.0933,189.3197,1033997.0
2025-03-31,188.1797,191.9997,187.9306,191.3697,1315872.0
2025-04-01,190.6497,191.7293,189.3397,191.0297,852629.0
2025-04-02,189.6997,192.6397,189.4769,192.1797,750598.0
2025-04-03,187.3597,188.5301,184.9597,185.1397,2101008.0
2025-04-04,181.2197,181.9297,174.2437,174.4497,4940498.0
2025-04-07,169.9997,178.7496,166.6997,173.0497,4043500.0
2025-04-08,178.6897,179.3497,168.5897,171.0897,2723442.0
2025-04-09,169.4997,184.6697,169.0697,183.9197,2555873.0
2025-04-10,180.9697,181.1297,174.0247,178.9597,1767292.0
2025-04-11,178.4597,183.1597,177.4797,182.1297,1460271.0
2025-04-14,184.6597,185.1973,182.4997,184.1397,2032550.0
2025-04-15,184.4897,185.5497,183.3097,183.3997,1063154.0
2025-04-16,182.4097,183.4547,179.1597,180.4897,1035413.0
2025-04-17,180.7797,182.858,180.4788,181.2397,948653.0
2025-04-21,179.9297,180.2497,175.6314,177.5497,1374615.0
2025-04-22,179.3397,182.0117,178.9897,181.7597,1195866.0
2025-04-23,184.9097,186.3797,182.5797,183.2097,1186752.0
2025-04-24,183.1897,185.8597,182.3412,185.7297,898895.0
2025-04-25,185.2497,186.1072,183.8497,186.0397,968533.0
2025-04-28,186.0997,187.0283,184.7197,186.4197,872684.0
2025-04-29,185.9597,187.9996,185.8497,187.5597,740164.0
2025-04-30,186.2397,188.9297,184.1597,188.4097,1127073.0
2025-05-01,188.3097,189.1516,187.4897,187.5597,942959.0
2025-05-02,189.8597,190.9323,189.4347,190.3997,811087.0
2025-05-05,189.6097,190.7897,189.1997,189.8097,1589227.0
2025-05-06,188.4297,189.6292,187.7997,188.1497,1000609.0
2025-05-07,188.5797,190.0297,188.1497,189.3797,631417.0
2025-05-08,190.2197,191.8247,189.1797,190.0997,1251821.0
2025-05-09,190.5397,190.6697,189.3497,189.6097,1049587.0
2025-05-12,193.7997,194.4597,192.7418,194.4597,2078947.0
2025-05-13,194.1097,194.8397,193.7197,193.8797,990603.0
2025-05-14,193.6997,193.8797,192.4297,192.6697,1117408.0
2025-05-15,192.3797,195.1197,192.3797,195.0597,1000729.0
2025-05-16,195.1297,196.4797,194.6197,196.4697,989669.0
2025-05-19,194.9997,197.1897,194.9597,196.8797,999629.0
2025-05-20,196.3197,196.8897,195.625,196.4597,700728.0
2025-05-21,195.0997,195.7197,192.8497,192.9797,752218.0
2025-05-22,192.6197,193.3897,191.7097,192.2997,1053699.0
2025-05-23,190.4997,192.2727,190.3853,191.7097,1104653.0
2025-05-27,193.4997,195.2797,192.9997,195.2797,1470989.0
2025-05-28,195.0897,195.6297,193.7297,193.9797,709333.0
2025-05-29,194.9397,194.9497,193.3297,194.7197,746172.0
2025-05-30,194.4397,196.0397,193.7497,195.3097,763033.0
2025-06-02,194.9497,196.1997,193.9297,196.1597,1323707.0
2025-06-03,195.8597,197.5447,195.5797,197.4597,647644.0
2025-06-04,197.7597,198.2596,197.3097,197.3097,525309.0
2025-06-05,197.7297,197.7493,196.3197,196.6497,878202.0
2025-06-06,197.7097,198.5821,197.2197,197.8297,707214.0
2025-06-09,197.9097,198.2397,197.0097,197.4497,961279.0
2025-06-10,197.6297,198.887,197.6297,198.7397,623203.0
2025-06-11,198.8297,199.4824,197.9797,198.6497,522978.0
2025-06-12,198.4497,200.0397,198.2452,200.0197,607500.0
2025-06-13,198.5997,199.3696,197.2497,197.8397,689002.0
2025-06-16,198.6697,199.6797,198.2047,198.5397,954840.0
2025-06-17,197.7897,198.2697,196.6997,196.9197,616822.0
2025-06-18,197.2897,198.1097,196.2797,196.5197,709875.0
2025-06-20,197.2697,197.3397,195.8697,196.3097,1085481.0
2025-06-23,196.5297,198.5497,195.7511,198.3897,963361.0
2025-06-24,199.6797,200.7617,199.2097,200.4097,628898.0
2025-06-25,200.4597,200.6497,199.4397,199.7097,552713.0
2025-06-26,200.0047,201.1197,200.0047,200.9297,590439.0
2025-06-27,201.2197,202.3997,200.6597,201.2797,831210.0
2025-06-30,202.1609,203.2009,201.7609,202.9209,1082021.0
2025-07-01,202.7009,204.8009,202.3909,204.3209,1113777.0
2025-07-02,204.1009,204.7109,203.6309,204.7109,1145834.0
2025-07-03,205.2009,206.3609,204.871,206.0609,624225.0
2025-07-07,205.8909,206.0209,203.8469,204.7409,1040890.0
2025-07-08,204.6209,205.0809,204.067,204.2209,627957.0
2025-07-09,204.8409,205.1459,203.7209,205.0309,683537.0
2025-07-10,205.0309,206.1149,204.8209,205.5009,710196.0
2025-07-11,204.5809,204.5809,203.7959,204.1809,696348.0
2025-07-14,203.7909,204.6409,203.5109,204.5309,724112.0
2025-07-15,204.7409,205.0309,202.5909,202.5909,694542.0
2025-07-16,203.1009,203.7709,201.5448,203.6709,906799.0
2025-07-17,203.2609,205.0509,203.2609,204.8809,638824.0
2025-07-18,205.2909,205.2909,204.0759,204.3509,740958.0
2025-07-21,204.6009,205.629,204.271,204.4209,895613.0
2025-07-22,204.4209,205.3759,204.4209,205.2109,642510.0
2025-07-23,205.7609,206.5709,205.3009,206.5709,712547.0
2025-07-24,206.5509,206.9909,206.151,206.3509,779441.0
2025-07-25,206.6709,207.5409,206.3219,207.3909,629844.0
2025-07-28,207.4509,207.5208,206.5883,206.9209,892255.0
2025-07-29,207.0509,207.2409,206.2409,206.6309,682232.0
2025-07-30,206.7309,207.1409,205.0309,205.9209,1427943.0
2025-07-31,205.9509,206.7309,203.7809,204.3109,693200.0
2025-08-01,203.0209,203.2908,201.4209,202.3409,1222698.0
2025-08-04,203.1509,205.1009,203.098,205.0409,679958.0
2025-08-05,205.2309,205.3483,203.8409,204.2509,518832.0
2025-08-06,204.6409,205.4759,204.0309,205.1409,728284.0
2025-08-07,206.0109,206.1709,203.5959,204.2609,772091.0
2025-08-08,204.6409,205.6806,204.6409,205.4209,571372.0
2025-08-11,205.6609,205.9109,204.6566,204.9709,640724.0
2025-08-12,205.6609,207.0279,205.3909,206.9209,613081.0
2025-08-13,207.7309,208.3508,207.311,208.2109,699824.0
2025-08-14,207.4609,208.4609,207.2109,208.3209,644041.0
2025-08-15,209.1509,209.1509,207.6809,207.7409,637465.0
2025-08-18,207.6309,208.0609,207.5109,207.7809,654742.0
2025-08-19,207.8009,208.9209,207.4759,207.8809,830827.0
2025-08-20,208.2509,208.5309,207.4209,208.1009,729897.0
2025-08-21,207.3709,207.9709,206.8038,207.2709,464576.0
2025-08-22,208.0309,210.3899,208.0309,209.6409,676159.0
2025-08-25,209.4109,209.589,208.0509,208.0809,698746.0
2025-08-26,208.0909,209.0909,208.0122,208.9809,724190.0
2025-08-27,208.7009,209.651,208.7009,209.4309,621273.0
2025-08-28,209.7709,209.9808,209.1152,209.8309,630712.0
2025-08-29,209.6409,209.8008,208.6609,209.1709,637130.0
2025-09-02,207.6609,208.4209,206.9809,208.3409,934796.0
2025-09-03,208.3709,208.5409,207.3959,208.5309,708193.0
2025-09-04,208.7509,210.0309,208.4327,210.0309,665263.0
2025-09-05,212.3309,212.4471,209.4809,210.2209,898769.0
2025-09-08,210.7209,211.0409,210.0609,210.9709,1253918.0
2025-09-09,211.0309,211.1459,210.4459,210.8909,2186263.0
2025-09-10,212.5909,213.4309,212.1109,212.8809,1349376.0
2025-09-11,213.5109,215.0709,213.3609,214.7709,1029978.0
2025-09-12,214.6209,214.7534,213.8309,213.8709,922210.0
2025-09-15,214.2409,214.4709,213.5109,213.8709,1140867.0
2025-09-16,214.0509,214.32,213.2615,213.5509,921841.0
2025-09-17,213.9909,215.0209,212.8184,214.0009,1213714.0
2025-09-18,214.3609,214.9609,213.6203,213.8909,889699.0
2025-09-19,214.5109,214.6809,213.3609,214.3409,814878.0
2025-09-22,213.7209,215.1206,213.7109,214.8309,2305867.0
2025-09-23,214.7909,215.5704,213.981,214.3709,789958.0
2025-09-24,214.4909,214.5509,213.5846,213.9709,714815.0
2025-09-25,213.2909,213.5109,211.8109,212.6409,771936.0
2025-09-26,213.2109,214.1012,212.8809,213.6509,662584.0
2025-09-29,214.3056,214.3056,213.1582,213.7056,956079.0
2025-09-30,213.5356,215.0556,213.3356,214.9056,1113635.0
2025-10-01,214.5556,216.1456,214.2157,216.0256,1184339.0
2025-10-02,216.1556,216.4056,215.2656,216.0656,706066.0
2025-10-03,216.3756,218.0356,216.2056,216.9056,788533.0
2025-10-06,217.3356,217.5206,216.5257,216.8856,910137.0
2025-10-07,217.2256,217.2584,215.7146,216.3756,831021.0
2025-10-08,216.6056,217.3121,216.2456,216.9256,742982.0
2025-10-09,217.2656,217.5256,215.4956,215.9456,704649.0
2025-10-10,216.5256,217.0056,211.6556,211.7056,1264647.0
2025-10-13,213.9056,215.2856,213.6804,214.5256,856492.0
2025-10-14,213.1756,216.2156,212.4092,215.4056,1097955.0
2025-10-15,216.6156,217.9806,214.6556,216.1656,1082941.0
2025-10-16,216.5356,216.6156,213.4756,214.2756,1147317.0
2025-10-17,213.8856,215.1756,213.3656,214.8556,1319136.0
2025-10-20,215.6256,216.6256,215.5856,216.3756,1154882.0
2025-10-21,216.3656,217.3556,216.1156,216.2456,1068309.0
2025-10-22,216.5056,216.5056,214.7256,215.3656,1409353.0
2025-10-23,215.3656,216.6706,215.3656,216.2456,1007842.0
2025-10-24,217.7256,218.2556,217.3355,217.6256,1006124.0
2025-10-27,218.5956,219.1556,218.0156,219.0856,1206705.0
2025-10-28,219.3656,219.6056,218.6006,218.6656,1379585.0
2025-10-29,218.2556,218.6556,216.3763,217.3156,1611907.0
2025-10-30,216.9656,218.3456,216.8256,216.9356,1864732.0
2025-10-31,216.4956,216.8056,215.1356,216.1756,2164858.0
2025-11-03,216.2156,216.3656,213.8656,215.0856,1519436.0
2025-11-04,213.9756,215.2656,213.6456,214.4956,1522519.0
2025-11-05,214.4456,216.2356,214.2956,215.3756,1735038.0
2025-11-06,215.0056,215.3356,213.8656,214.4656,1825277.0
2025-11-07,214.2756,214.7656,212.6656,214.7556,1928247.0
2025-11-10,215.6256,216.6558,214.8256,216.3656,1519091.0
2025-11-11,216.4656,218.2956,216.4356,217.9456,1126369.0
2025-11-12,218.5656,219.4953,218.4906,219.2156,1184197.0
2025-11-13,218.7856,219.1159,216.4956,216.8156,1472812.0
2025-11-14,215.4556,217.1906,214.8157,216.1456,1551856.0
2025-11-17,215.5956,216.4206,213.5306,214.1356,1791594.0
2025-11-18,213.5256,214.6756,212.4556,213.4456,2371099.0
2025-11-19,213.3156,214.8906,213.1056,214.1656,1314457.0
2025-11-20,216.1356,217.2756,212.0256,212.1656,2387371.0
2025-11-21,212.7956,215.7256,212.5856,214.3756,1660132.0
2025-11-24,214.9556,216.6306,214.6306,216.0756,1425233.0
2025-11-25,216.9706,219.4756,216.1467,219.1056,1165766.0
2025-11-26,219.4856,221.3756,219.4356,220.7156,1285408.0
2025-11-28,220.8156,221.9256,220.6656,221.7856,831737.0
2025-12-01,220.8356,221.0356,219.5256,219.6556,2054279.0
2025-12-02,220.0356,220.0356,218.8456,219.4356,1408665.0
2025-12-03,219.3356,221.1955,219.2656,220.9856,1422921.0
2025-12-04,220.8756,221.2279,219.7456,220.3756,1070974.0
2025-12-05,220.8556,221.7156,220.4456,220.7056,1233068.0
2025-12-08,221.4256,221.4256,219.6256,220.0256,1832785.0
2025-12-09,219.9106,220.9817,219.4456,219.5256,1450089.0
2025-12-10,219.4656,222.2356,219.2456,221.8956,1626302.0
