date,dd_scale
2019-10-22,0.3243928988853384
2019-10-23,0.31107856522727073
2019-10-24,0.31871199349112
2019-10-25,0.3202681052606806
2019-10-28,0.3331544867098707
2019-10-29,0.3366905730792338
2019-10-30,0.3252428642308447
2019-10-31,0.32161009770006244
2019-11-01,0.3163598298513822
2019-11-04,0.3107551432413804
2019-11-05,0.32171686011373957
2019-11-06,0.32748186157358916
2019-11-07,0.3355657952313057
2019-11-08,0.34864552544282135
2019-11-11,0.3630169665290045
2019-11-12,0.37739548909489273
2019-11-13,0.36455827033051835
2019-11-14,0.3439931332494375
2019-11-15,0.32000059087978594
2019-11-18,0.2887107567218439
2019-11-19,0.29140564665343316
2019-11-20,0.2862005618657756
2019-11-21,0.2899477938153113
2019-11-22,0.27971177351996057
2019-11-25,0.27321294092929715
2019-11-26,0.2724185708590443
2019-11-27,0.27106725352643746
2019-11-28,0.31221276963802913
2019-11-29,0.32213512289150226
2019-12-02,0.3096821370675725
2019-12-03,0.3119553046396506
2019-12-04,0.26974218644969705
2019-12-05,0.2578741130913894
2019-12-06,0.278810936421644
2019-12-09,0.27279877580064693
2019-12-10,0.3175816688193217
2019-12-11,0.33893615870914906
2019-12-12,0.33144037901733536
2019-12-13,0.3317477635727195
2019-12-16,0.31209340721103174
2019-12-17,0.23486628210278604
2019-12-18,0.25753840590714305
2019-12-19,0.25228546134145236
2019-12-20,0.25661299191155174
2019-12-23,0.26510808717937706
2019-12-24,0.2547524613367499
2019-12-25,0.25928131871108706
2019-12-26,0.26192209915791853
2019-12-27,0.27411692221562867
2019-12-30,0.29506706128017335
2019-12-31,0.2967618057465238
2020-01-02,0.2775533943949626
2020-01-03,0.2851887913967721
2020-01-06,0.31667906336872054
2020-01-07,0.359246686320305
2020-01-08,0.3615252400531329
2020-01-09,0.384605974077622
2020-01-10,0.3132470521414843
2020-01-13,0.3328738492927008
2020-01-14,0.3433900486068072
2020-01-15,0.3400028661057297
2020-01-16,0.31149061323461014
2020-01-17,0.31976864128312377
2020-01-20,0.3309726437090329
2020-01-21,0.33847585815183656
2020-01-22,0.26648746210179286
2020-01-23,0.2628576552974795
2020-02-03,0.2076077159533376
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-17,0.10000000000000087
2020-02-18,0.10000000000000087
2020-02-19,0.10334011942921129
2020-02-20,0.10292145214444326
2020-02-21,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.10000000000000087
2020-03-06,0.10000000000000087
2020-03-09,0.10627774484347952
2020-03-10,0.12164331452801436
2020-03-11,0.125527452579815
2020-03-12,0.13906678646549708
2020-03-13,0.14521834583136128
2020-03-16,0.13826092831739267
2020-03-17,0.1389023924202778
2020-03-18,0.1368058495053398
2020-03-19,0.15135936355131185
2020-03-20,0.16070449480977078
2020-03-23,0.14781547294895636
2020-03-24,0.15419430449628257
2020-03-25,0.1509315723632334
2020-03-26,0.15042582415291994
2020-03-27,0.1480916666175397
2020-03-30,0.15574158296375096
2020-03-31,0.1749088367755508
2020-04-01,0.1689376377026921
2020-04-02,0.16026604939905065
2020-04-03,0.13877884541956287
2020-04-07,0.14082077035465712
2020-04-08,0.12817957755836296
2020-04-09,0.12575525122302111
2020-04-10,0.1152066040864308
2020-04-13,0.11409257865379074
2020-04-14,0.11660324488206775
2020-04-15,0.11614697920793526
2020-04-16,0.11914060425923101
2020-04-17,0.12071850882092006
2020-04-20,0.11671173661302936
2020-04-21,0.11840916614153985
2020-04-22,0.12951774301944297
2020-04-23,0.13199708500025908
2020-04-24,0.12552087001812173
2020-04-27,0.1275582556672663
2020-04-28,0.13099624521834108
2020-04-29,0.1323306703985111
2020-04-30,0.12902492993888426
2020-05-06,0.11606260735688456
2020-05-07,0.11114981165157212
2020-05-08,0.1050336280009051
2020-05-11,0.10164250562489119
2020-05-12,0.10157542305317868
2020-05-13,0.10299049649220737
2020-05-14,0.10079614787321611
2020-05-15,0.10418127569518931
2020-05-18,0.10221546106823598
2020-05-19,0.10248568091061305
2020-05-20,0.10235973052298619
2020-05-21,0.0
2020-05-22,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.10000000000000087
2020-06-04,0.10000000000000087
2020-06-05,0.10000000000000087
2020-06-08,0.10700223622529426
2020-06-09,0.11007487583063469
2020-06-10,0.11331277634370107
2020-06-11,0.11191041396815671
2020-06-12,0.11228006985415784
2020-06-15,0.11188674470830962
2020-06-16,0.10263461935538287
2020-06-17,0.11353375340742344
2020-06-18,0.11154778404671828
2020-06-19,0.11542723369109165
2020-06-22,0.12098262935279047
2020-06-23,0.1160110539377085
2020-06-24,0.11463438096463185
2020-06-29,0.11783254124034492
2020-06-30,0.10793314915531094
2020-07-01,0.11177223369164324
2020-07-02,0.12164254765642557
2020-07-03,0.1258824432191391
2020-07-06,0.13448152959337045
2020-07-07,0.14931372088826467
2020-07-08,0.1455566305178143
2020-07-09,0.16158565247199907
2020-07-10,0.1754840819121506
2020-07-13,0.1591643439090592
2020-07-14,0.1875307375415416
2020-07-15,0.18611785282035742
2020-07-16,0.1928478428072652
2020-07-17,0.17724783028689073
2020-07-20,0.18298243182951923
2020-07-21,0.189611481542023
2020-07-22,0.19989428676916243
2020-07-23,0.216129124575978
2020-07-24,0.233604639992547
2020-07-27,0.21427279116909947
2020-07-28,0.23767004697256533
2020-07-29,0.2172146684902917
2020-07-30,0.24373690640645895
2020-07-31,0.2445431145863044
2020-08-03,0.2501708983353276
2020-08-04,0.27248459140736503
2020-08-05,0.27531837523588065
2020-08-06,0.2674094147580941
2020-08-07,0.33916458136823924
2020-08-10,0.32070146525672383
2020-08-11,0.30407370280372603
2020-08-12,0.27200341302645503
2020-08-13,0.2726340965347307
2020-08-14,0.2830824203087986
2020-08-17,0.3015672092164068
2020-08-18,0.32017483941041536
2020-08-19,0.3365050006185807
2020-08-20,0.3235687303434004
2020-08-21,0.30246854994303485
2020-08-24,0.30206752312118224
2020-08-25,0.2937239852089898
2020-08-26,0.2889469103183342
2020-08-27,0.29489555195552597
2020-08-28,0.2913011989991726
2020-08-31,0.3128433312758535
2020-09-01,0.3397503267933877
2020-09-02,0.3489533334021949
2020-09-03,0.3456512173046211
2020-09-04,0.3088319046438842
2020-09-07,0.3038501909673019
2020-09-08,0.2914817443489631
2020-09-09,0.29352462577226346
2020-09-10,0.2542850782206454
2020-09-11,0.26127373217367433
2020-09-14,0.282884252246289
2020-09-15,0.2977265988451635
2020-09-16,0.2868825489608925
2020-09-17,0.2678885689041144
2020-09-18,0.2644026754268588
2020-09-21,0.29531466686502383
2020-09-22,0.2883596876832164
2020-09-23,0.25135069329251913
2020-09-24,0.24003988962106004
2020-09-25,0.2352595791504255
2020-09-28,0.24250772995539593
2020-09-29,0.2496614687895201
2020-09-30,0.23669345763182992
2020-10-09,0.22054300994904574
2020-10-12,0.24316387485683044
2020-10-13,0.25604217518695405
2020-10-14,0.2541282366946762
2020-10-15,0.2567601570610608
2020-10-16,0.2455141853757914
2020-10-19,0.252946974085812
2020-10-20,0.24628938480038076
2020-10-21,0.26139463061250445
2020-10-22,0.2666738271139354
2020-10-23,0.27264448099006133
2020-10-26,0.2653814867003146
2020-10-27,0.2874331404390251
2020-10-28,0.2946769557122544
2020-10-29,0.3276467903564675
2020-10-30,0.3279755541088869
2020-11-02,0.34488150068439716
2020-11-03,0.3292559866639435
2020-11-04,0.32500158828726533
2020-11-05,0.337269110998063
2020-11-06,0.3555430452471303
2020-11-09,0.3660066980091372
2020-11-10,0.3755280562373481
2020-11-11,0.3404028624095514
2020-11-12,0.3675514311017921
2020-11-13,0.36450244218370287
2020-11-16,0.3803923031034817
2020-11-17,0.41008537354502683
2020-11-18,0.4281977370443998
2020-11-19,0.4229044127404935
2020-11-20,0.46431240517542127
2020-11-23,0.4771306556386259
2020-11-24,0.4512897288028913
2020-11-25,0.4593754710009629
2020-11-26,0.4538836020595157
2020-11-27,0.4657106191700644
2020-11-30,0.5061464658941632
2020-12-01,0.5653141749767415
2020-12-02,0.5903920382924555
2020-12-03,0.6177683762507791
2020-12-04,0.557967770546785
2020-12-07,0.5906746649711259
2020-12-08,0.5988043723115616
2020-12-09,0.4791838242978369
2020-12-10,0.49498486091001404
2020-12-11,0.5258540916303049
2020-12-14,0.5872944469486746
2020-12-15,0.5752704765043465
2020-12-16,0.5968421972767735
2020-12-17,0.6193568441374477
2020-12-18,0.6874608759726999
2020-12-21,0.756497988863318
2020-12-22,0.8325060502308148
2020-12-23,0.6832630695105688
2020-12-24,0.6483916271506701
2020-12-25,0.7035262521704652
2020-12-28,0.7289681928371388
2020-12-29,0.6458883566452398
2020-12-30,0.6012344367859248
2020-12-31,0.6656097278914117
2021-01-04,0.7292617213479613
2021-01-05,0.7601301259304066
2021-01-06,0.767474823927583
2021-01-07,0.8428989702735976
2021-01-08,0.944605313552554
2021-01-11,0.975262884998605
2021-01-12,0.8905387743622473
2021-01-13,0.998656391814588
2021-01-14,1.0
2021-01-15,0.9512494157794676
2021-01-18,0.9602686780751126
2021-01-19,1.0
2021-01-20,0.8991476943471244
2021-01-21,0.8487149609822303
2021-01-22,0.9154904218812145
2021-01-25,0.806620296909232
2021-01-26,0.7855704588492979
2021-01-27,0.7223861156677003
2021-01-28,0.821739064049428
2021-01-29,0.7025795369795437
2021-02-01,0.7258271160360155
2021-02-02,0.7511138619332111
2021-02-03,0.7170072135697128
2021-02-04,0.7094340220954747
2021-02-05,0.7834686460652562
2021-02-08,0.8313414427929405
2021-02-09,0.8507440823002779
2021-02-10,0.9383287738768359
2021-02-18,0.9794255362894896
2021-02-19,1.0
2021-02-22,1.0
2021-02-23,1.0
2021-02-24,1.0
2021-02-25,1.0
2021-02-26,1.0
2021-03-01,1.0
2021-03-02,1.0
2021-03-03,1.0
2021-03-04,1.0
2021-03-05,1.0
2021-03-08,1.0
2021-03-09,1.0
2021-03-10,1.0
2021-03-11,1.0
2021-03-12,1.0
2021-03-15,1.0
2021-03-16,1.0
2021-03-17,1.0
2021-03-18,1.0
2021-03-19,1.0
2021-03-22,1.0
2021-03-23,1.0
2021-03-24,1.0
2021-03-25,1.0
2021-03-26,1.0
2021-03-29,1.0
2021-03-30,1.0
2021-03-31,1.0
2021-04-01,1.0
2021-04-02,1.0
2021-04-06,1.0
2021-04-07,1.0
2021-04-08,1.0
