date,pairs,bollinger,reversal
2022-03-16,1.052819428946162,0.8172473996613489,0.6514758468156892
2022-03-17,1.0477819443327618,0.8333475001604334,0.6469236645723595
2022-03-18,1.0348276134737653,0.8329886135681348,0.668993612377655
2022-03-21,1.0265559872725851,0.8329886135681348,0.6697821455178214
2022-03-22,1.0263253559890761,0.8329886135681348,0.6700011952657683
2022-03-23,1.016818720999095,0.8329886135681348,0.6757311186968549
2022-03-24,1.019856779443316,0.8329886135681348,0.6630951022396315
2022-03-25,1.0087857121153243,0.8329886135681348,0.6715096297605132
2022-03-28,1.014473311167174,0.8329886135681348,0.6715096297605132
2022-03-29,1.0227471372878134,0.8329886135681348,0.6715096297605132
2022-03-30,1.0220714136364584,0.8329886135681348,0.6715096297605132
2022-03-31,1.038910896557237,0.8329886135681348,0.6715096297605132
2022-04-01,1.0752202738177086,0.8329886135681348,0.6714424787975372
2022-04-06,1.06774350084661,0.8329886135681348,0.6798388952067692
2022-04-07,1.076526650013977,0.8329886135681348,0.6769166358595025
2022-04-08,1.0659977713610302,0.8329886135681348,0.6920584794436991
2022-04-11,1.081195397633428,0.8329134695947003,0.6943012314254899
2022-04-12,1.0587033405006936,0.8540914800076163,0.7133003954456673
2022-04-13,1.0721783124145312,0.8401098574368719,0.699823406970835
2022-04-14,1.0708928687583479,0.8511365822247567,0.7098139373253388
2022-04-15,1.0621328973980444,0.8567142234520759,0.7098139373253388
2022-04-18,1.074008732356725,0.8567142234520759,0.7098139373253388
2022-04-19,1.086308406747244,0.8567142234520759,0.7098139373253388
2022-04-20,1.0900164290044732,0.8567142234520759,0.7098139373253388
2022-04-21,1.078861483626498,0.8567142234520759,0.7098139373253388
2022-04-22,1.0774657031678625,0.8567142234520759,0.7098139373253388
2022-04-25,1.0421609962040261,0.8566628594585971,0.7097383329285938
2022-04-26,1.0258629656969582,0.8660364686788673,0.7154529243790527
2022-04-27,1.0179463230465662,0.877268246719512,0.7235267268422432
2022-04-28,1.0201716606391944,0.8931775941361515,0.7274353346499164
2022-04-29,1.0029835256831638,0.9044440974509373,0.7273625911164514
2022-05-05,1.0150894663944379,0.9044440974509373,0.7317780877635235
2022-05-06,1.0072798366977362,0.9044440974509373,0.7527332264692034
2022-05-09,0.9857977230223383,0.9044440974509373,0.7526579531465565
2022-05-10,1.004045324587712,0.9044440974509373,0.7555061040918437
2022-05-11,0.9992603930744385,0.9044440974509373,0.7636286246769344
2022-05-12,0.9878765622271026,0.9044440974509373,0.7544919235122638
2022-05-13,0.9949259798227615,0.9044440974509373,0.7604902084114873
2022-05-16,1.0036736081410498,0.9044440974509373,0.7627376464042598
2022-05-17,1.003257824423316,0.9044440974509373,0.7682264571931513
2022-05-18,1.0034867528194795,0.9044440974509373,0.7682264571931513
2022-05-19,1.0066930487639,0.9044440974509373,0.7682264571931513
2022-05-20,1.0022388280245143,0.9044440974509373,0.7682264571931513
2022-05-23,1.0195588762906178,0.9044440974509373,0.7682264571931513
2022-05-24,1.0162894599119403,0.9044440974509373,0.7682264571931513
2022-05-25,1.0033891285223047,0.9044440974509373,0.7682264571931513
2022-05-26,1.020134191126157,0.9044440974509373,0.7682264571931513
2022-05-27,1.0134350198185116,0.9044440974509373,0.7682264571931513
2022-05-30,1.0013028340622867,0.9044440974509373,0.7682264571931513
2022-05-31,1.0008079883497096,0.9044440974509373,0.7682264571931513
2022-06-01,1.0139140633392176,0.9044440974509373,0.7682264571931513
2022-06-02,1.0012360416796355,0.9044440974509373,0.7682264571931513
2022-06-06,0.9786971661427201,0.9043701143203642,0.7682264571931513
2022-06-07,0.9594047222981462,0.8790203603936653,0.7681680148143574
2022-06-08,0.9631523323452102,0.8632240705745984,0.7543637787141712
2022-06-09,0.9625494980608175,0.863746637683753,0.754820445427405
2022-06-10,0.9696679038180819,0.8649676707204719,0.7558874952548048
2022-06-13,0.9887938060093119,0.8807181279203016,0.7695941749403348
2022-06-14,0.9823297518595534,0.8850996069550587,0.7695941749403348
2022-06-15,0.9945343012726259,0.8962976041757025,0.7694718943093852
2022-06-16,0.9993843245793844,0.8962976041757025,0.7692379813043941
2022-06-17,1.0000107569522272,0.8962976041757025,0.7633788233390447
2022-06-20,0.9775249591013363,0.8962976041757025,0.7366638790204875
2022-06-21,0.9794556230060203,0.8962976041757025,0.7392551856490803
2022-06-22,0.974655532497938,0.8962976041757025,0.7115230493715203
2022-06-23,0.9922066723001984,0.8962976041757025,0.7286554674173141
2022-06-24,0.9936742844459445,0.8962976041757025,0.6876140274834301
2022-06-27,0.9972342927775071,0.8962976041757025,0.7094748928494115
2022-06-28,0.9947643414839311,0.8962976041757025,0.7317989570181875
2022-06-29,1.0072224779092585,0.8962976041757025,0.7052970121984243
2022-06-30,1.0053997622638287,0.8962976041757025,0.7052970121984243
2022-07-01,0.9852550354569158,0.8962976041757025,0.7051559527959846
2022-07-04,0.9865766964957912,0.8962976041757025,0.6979691790299707
2022-07-05,0.9618785645183047,0.8962976041757025,0.6843627058947034
2022-07-06,0.9466193238766535,0.8962976041757025,0.6476477368136989
2022-07-07,0.9364730876850534,0.8962976041757025,0.6589634626462909
2022-07-08,0.9487749743289264,0.8962976041757025,0.6805621701898371
2022-07-11,0.9413422232567237,0.8962976041757025,0.6786996426468018
2022-07-12,0.9451585384509521,0.8962976041757025,0.680738651407519
2022-07-13,0.9300207110433455,0.8962976041757025,0.6832220095147453
2022-07-14,0.9270004587527945,0.8962976041757025,0.6738699995772136
2022-07-15,0.9204643476747371,0.8962976041757025,0.6522248772234401
2022-07-18,0.9477688330730525,0.8962976041757025,0.6953041739109832
2022-07-19,0.9449287686850604,0.8962976041757025,0.6925318614979656
2022-07-20,0.9553375167658312,0.8962976041757025,0.7004733849689603
2022-07-21,0.9515746054750733,0.8962976041757025,0.7059798699341442
2022-07-22,0.9593966446158478,0.8962976041757025,0.6929126596235333
2022-07-25,0.9758789960841455,0.8962976041757025,0.6952520341422709
2022-07-26,0.9807455623410146,0.8962976041757025,0.684557738409624
2022-07-27,0.9739148120103863,0.8962976041757025,0.6894166847644481
