,label,method,p_window,p_n_std,p_exit_z,p_stop_z,train_sharpe,train_cagr,train_total,train_maxdd,valid_sharpe,valid_cagr,valid_total,valid_maxdd,pos_asset_frac,local_sharpe_std,score
16,"bollinger|window=20,n_std=2.5,exit_z=0,stop_z=3.5",bollinger,20,2.5,0,3.5,-0.13310465095750326,-0.009280896073851075,-0.03536153499284378,-0.10053354452172547,0.06182809543127458,0.0018825218381408604,0.003618770183369202,-0.0775825853229084,0.5384615384615384,0.21460847886931272,-0.037976193952168225
17,"bollinger|window=20,n_std=2.5,exit_z=0,stop_z=4",bollinger,20,2.5,0,4.0,-0.1283956569373733,-0.009012019426342888,-0.03435030945067796,-0.10053354452172558,0.04983824871758891,0.0012356041478518431,0.00237449420410929,-0.07758258532290951,0.5384615384615384,0.2219093191330291,-0.043757249168466086
2,"bollinger|window=10,n_std=1.5,exit_z=0,stop_z=4",bollinger,10,1.5,0,4.0,-0.30092213989213334,-0.027730578081889168,-0.10289596302134651,-0.1999144926574754,0.13744079666531142,0.0040764611712855725,0.007844083688561598,-0.11676171759238152,0.38461538461538464,0.10466459466039457,-0.0688845746443678
0,"bollinger|window=10,n_std=1.5,exit_z=0,stop_z=3",bollinger,10,1.5,0,3.0,-0.30092213989213334,-0.027730578081889168,-0.10289596302134651,-0.1999144926574754,0.13744079666531142,0.0040764611712855725,0.007844083688561598,-0.11676171759238152,0.38461538461538464,0.11206853763693034,-0.07073556038850175
1,"bollinger|window=10,n_std=1.5,exit_z=0,stop_z=3.5",bollinger,10,1.5,0,3.5,-0.30092213989213334,-0.027730578081889168,-0.10289596302134651,-0.1999144926574754,0.13744079666531142,0.0040764611712855725,0.007844083688561598,-0.11676171759238152,0.38461538461538464,0.11390688028649182,-0.07119514605089212
23,"bollinger|window=40,n_std=2,exit_z=0,stop_z=4",bollinger,40,2.0,0,4.0,-0.320913760186231,-0.0276623487558727,-0.10265286402667251,-0.2347037966097001,0.06954573523184314,0.0021364886983101794,0.004107450130397483,-0.11903873318760827,0.3076923076923077,0.13744983531670787,-0.13001395928949838
22,"bollinger|window=40,n_std=2,exit_z=0,stop_z=3.5",bollinger,40,2.0,0,3.5,-0.3384885489252275,-0.028937193859231436,-0.10718704055747252,-0.24122238115246442,0.057425804117162006,0.0010868398247487754,0.0020884668099576675,-0.12019712141795624,0.3076923076923077,0.12592299891939915,-0.1396157864595036
21,"bollinger|window=40,n_std=2,exit_z=0,stop_z=3",bollinger,40,2.0,0,3.0,-0.41234510222925025,-0.033761814745338015,-0.12419297235644489,-0.24896499118584858,0.010772616854436656,-0.0028772829841855474,-0.0055188903542089385,-0.12179313335407294,0.3076923076923077,0.07769772749922094,-0.173128483460849
20,"bollinger|window=40,n_std=1.5,exit_z=0,stop_z=4",bollinger,40,1.5,0,4.0,-0.3381798942433855,-0.031558813003446096,-0.11645784315412244,-0.26757697262858193,-0.2500206909702909,-0.027890539728297248,-0.05287930620752157,-0.13636149913594187,0.5384615384615384,0.09330268085252955,-0.25349292003411517
9,"bollinger|window=20,n_std=1.5,exit_z=0,stop_z=3",bollinger,20,1.5,0,3.0,-0.5689984563434629,-0.04942155137428805,-0.17774015414605482,-0.28276416372418645,-0.0052629794543448735,-0.007691104851030417,-0.014719496536069077,-0.14810063028137155,0.23076923076923078,0.11185607039758452,-0.25358816824844255
11,"bollinger|window=20,n_std=1.5,exit_z=0,stop_z=4",bollinger,20,1.5,0,4.0,-0.5485737746978909,-0.048114812780253646,-0.17336718827983744,-0.27547577484305363,-0.02707579985449454,-0.00971332762420729,-0.018572320855555047,-0.15030866565048828,0.23076923076923078,0.12244804812175547,-0.2579717562861944
19,"bollinger|window=40,n_std=1.5,exit_z=0,stop_z=3.5",bollinger,40,1.5,0,3.5,-0.34265998709173046,-0.031858623180360146,-0.11751349412753664,-0.2708196739502642,-0.2614978330709621,-0.028908604755963796,-0.05478345585011424,-0.13749687395806487,0.5384615384615384,0.09495232823492993,-0.2612547300276328
10,"bollinger|window=20,n_std=1.5,exit_z=0,stop_z=3.5",bollinger,20,1.5,0,3.5,-0.5849051001507382,-0.05104669504220738,-0.1831547100119847,-0.2839644724405449,-0.020138161518462958,-0.009072637580045284,-0.01735243419699206,-0.14925252351725182,0.23076923076923078,0.12226363054019515,-0.2681184749010125
12,"bollinger|window=20,n_std=2,exit_z=0,stop_z=3",bollinger,20,2.0,0,3.0,-0.5518273444496691,-0.04271144960598927,-0.15510178261311136,-0.23512941919791686,-0.13894380304617895,-0.014720963250481667,-0.02808193033893025,-0.1301978261706208,0.3076923076923077,0.1322443478739918,-0.2934182706650266
14,"bollinger|window=20,n_std=2,exit_z=0,stop_z=4",bollinger,20,2.0,0,4.0,-0.5682024868890714,-0.0444884128952705,-0.16114125261458578,-0.23620590505237127,-0.14794652077526135,-0.015497483188318228,-0.02955258349023937,-0.13044764808300435,0.38461538461538464,0.1669300582272937,-0.3038079740634938
13,"bollinger|window=20,n_std=2,exit_z=0,stop_z=3.5",bollinger,20,2.0,0,3.5,-0.6065274183133111,-0.04728509147692528,-0.1705816180365809,-0.24451285953109514,-0.14016829822199833,-0.014861986499609348,-0.028349093969425643,-0.12936928244924928,0.3076923076923077,0.15992044984850073,-0.3201015654172533
18,"bollinger|window=40,n_std=1.5,exit_z=0,stop_z=3",bollinger,40,1.5,0,3.0,-0.39991456774308565,-0.03590061754085683,-0.13165456872666936,-0.2764605007814067,-0.36280787560237304,-0.03759611559465603,-0.07095750726601135,-0.14513384096141901,0.38461538461538464,0.08390744821959296,-0.33845842488679073
