,rev_1,vol_12,max_ret,skew_12,downside_vol,mom_12_1,mom_6,liquidity_proxy,composite
2011-11-30,0.0767392126544901,0.061546755945330364,0.061366774264545704,0.04558984397548841,0.03705243189003161,0.030697824142589702,0.11463311797822946,0.07769497823173481,0.0767392126544901
2011-12-31,-0.01784655048450079,0.12303056929837448,0.08482816484147775,0.007006202413341421,0.11973585074046264,0.008749260067868742,0.06776396492613707,0.05518538876364449,-0.01784655048450079
2012-01-31,0.24235329430180558,-0.098585709757788,-0.03321035581381957,0.010327578997022835,-0.13673739043838132,0.005301427465020293,-0.3505402492812442,-0.13701095455788495,0.1837839629091737
2012-02-29,0.22438513198716936,-0.21888080472653826,-0.07141908666973973,0.08691601000663705,-0.31761322725963803,-0.21543414895059515,-0.3824371741347126,-0.27336338210308264,0.21020047170840753
2012-03-31,0.1811135376014435,0.20061891393698053,0.16471090602523725,0.10530427689054968,0.15861925588091808,0.17551506375175552,0.11769215840818666,0.2254299495082589,0.1304081529944338
2012-04-30,0.16144454712582795,-0.002955872619377722,0.023265059453503514,-0.041646350830216325,-0.07885632472095189,-0.15418574649303596,-0.18113245877688888,-0.09063133515296981,0.13325628729071184
2012-05-31,0.08414856088706135,-0.029244137246598554,-0.042403818093786884,0.010215525856509014,-0.026035914034599133,0.056209105392897765,-0.032802472422104025,-0.002147557509336171,0.044684207302369945
2012-06-30,-0.024495159174573337,0.10004703867405752,0.09414350977579272,0.08607488864235713,0.12120591634300862,0.11600053662595015,-0.09433517814661271,0.0984674481092067,0.0866789351073747
2012-07-31,-0.06176609167565689,0.14214731664316463,0.06731809855119401,0.03186713706425352,0.14555789451854703,0.17627506958659492,0.11408912238651113,0.11733249181023767,-0.03130769991738787
2012-08-31,0.18946460998045495,-0.14195031288556278,-0.08048013528017248,0.03929572490796067,-0.20073545959572914,-0.04600893493055623,-0.09909129526097399,-0.11576477275858187,0.13738045556289777
2012-09-30,0.12906249493147662,0.02052009722639299,0.022142032013416597,-0.02045292086985064,-0.031074283580919317,-0.04942448160117727,-0.10658662639240865,0.0317182717964696,0.11925642282809339
2012-10-31,0.067248798350266,0.014451533893441854,0.02297616104648011,0.05627932229422384,-0.026967943129710084,-0.01279530506956517,-0.016490006777202366,0.05933924184115585,0.0599601391495962
2012-11-30,-0.10453263669854763,0.1739628932704961,0.1664395143277055,0.0503513349758322,0.11563153936553155,-0.01723130060218904,-0.0036226928126491093,0.17634258290537716,-0.006380637070738866
2012-12-31,0.28008029412122537,-0.19517749501079976,-0.14898305000260545,-0.09316682953854867,-0.12475729378325287,-0.027767347237130983,-0.19233787797885363,-0.2909513196485953,0.15882447153170934
