book,n,tv,soft,hard,is_sharpe,is_cagr,is_dd,oos_sharpe,oos_cagr,oos_dd,oos_vol,full_sharpe,full_cagr,full_dd,oos_hit,full_hit,score
is040,9,0.36,0.08,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.32,0.08,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.36,0.07,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.28,0.08,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.16,0.08,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.12,0.08,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.16,0.07,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.32,0.07,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.28,0.07,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
is040,9,0.24,0.07,0.099,-0.3071598932145763,-0.013015128119319597,-0.09900000000099995,0.0,0.0,0.0,0.0,-0.20981644464467816,-0.00609203502126876,-0.09900000000099995,0,0,-156.14319786429152
top_arb,6,0.2,0.08,0.095,-0.5353661147271357,-0.01917526834333516,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.36562631168855503,-0.008990377143325512,-0.09499999999999997,0,0,-160.7073222945427
top_arb,6,0.12,0.08,0.095,-0.5353661147271357,-0.01917526834333516,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.36562631168855503,-0.008990377143325512,-0.09499999999999997,0,0,-160.7073222945427
top_arb,6,0.16,0.08,0.095,-0.5353661147271357,-0.01917526834333516,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.36562631168855503,-0.008990377143325512,-0.09499999999999997,0,0,-160.7073222945427
top_arb,6,0.32,0.08,0.095,-0.5353661147271357,-0.01917526834333516,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.36562631168855503,-0.008990377143325512,-0.09499999999999997,0,0,-160.7073222945427
top_arb,6,0.36,0.08,0.095,-0.5353661147271357,-0.01917526834333516,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.36562631168855503,-0.008990377143325512,-0.09499999999999997,0,0,-160.7073222945427
top_arb,6,0.24,0.08,0.095,-0.5353661147271357,-0.01917526834333516,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.36562631168855503,-0.008990377143325512,-0.09499999999999997,0,0,-160.7073222945427
top_arb,6,0.28,0.08,0.095,-0.5353661147271357,-0.01917526834333516,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.36562631168855503,-0.008990377143325512,-0.09499999999999997,0,0,-160.7073222945427
top_arb,6,0.2,0.07,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.16,0.07,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.24,0.08,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.36,0.07,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.32,0.08,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.28,0.07,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.32,0.07,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.36,0.08,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.2,0.08,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.16,0.08,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.24,0.07,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.28,0.08,0.099,-0.5629714610220443,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.3844669353750294,-0.009520554118028213,-0.09899999999999998,0,0,-161.2594292204409
top_arb,6,0.12,0.08,0.099,-0.5631351470399691,-0.02029988098213109,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.38457864547455695,-0.009520554118028213,-0.09899999999999998,0,0,-161.2627029407994
