sleeve,is_sharpe,is_cagr,oos_sharpe,oos_cagr,active_frac
trend_donchian55,0.22168937003459113,0.018637968801190175,0.2695100226830082,0.023848369250158985,0.9731414868105516
pair_SC_MA,0.2204422725498145,0.008414876551261274,-0.1187875786546358,-0.009951001425403838,0.07053742802303263
edge_olsx_SC_TA,0.16101730207887227,0.004013243275693634,0.2521579453714775,0.005741584489773466,0.031542631838344014
cal_RU,0.13008661541596533,0.00176833692890499,0.2213165492302845,0.002004081100026145,0.23848368522072938
edge_basis_mom20,0.11390415455226016,0.005302107356021546,-0.8779820619954127,-0.051187503264647716,0.8661228406909789
edge_xs_overnight5,0.11314371354659737,0.006006280396999797,-0.39792593851495706,-0.03687200069403185,0.9952038369304557
edge_olsx_I_HC,0.08373777784279147,0.0020925058920739925,-0.13045923542661397,-0.0038900106026773518,0.0628598848368522
trend_dualma_atr,0.0716323191993996,0.0024884808370377876,0.3870456520249907,0.027598941157206403,0.9717026378896882
edge_ols_Y_C,0.0,0.0,0.047055701779838296,0.000687505677541278,0.005758157389635317
pair_CU_AU,0.0,0.0,-0.3325050245497941,-0.004407681953767728,0.019193857965451054
cal_M,0.0,0.0,-0.11340718586530137,-0.005468491790282193,0.12044145873320537
pair_Y_M,0.0,0.0,-0.07365338584090589,-0.004081491729676978,0.028790786948176585
edge_ols_CU_AU,0.0,0.0,0.0,0.0,0.0
edge_olsx_Y_C,0.0,0.0,0.04705570177983837,0.000687505677541278,0.005758157389635317
edge_olsx_MA_TA,0.0,0.0,-0.7741490687544771,-0.011690573384489977,0.008165225744476465
edge_ols_SC_MA,0.0,0.0,0.5637681842184954,0.00852716420530375,0.004437869822485207
pair_Y_C,0.0,0.0,0.1155738175769356,0.0016812897419575812,0.0047984644913627635
cal_SC,0.0,0.0,0.0,0.0,0.0
edge_ols_Y_M,0.0,0.0,-0.7616608826531864,-0.015152981922062048,0.016314779270633396
edge_olsx_SC_MA,0.0,0.0,0.0,0.0,0.0
edge_olsx_CU_AU,0.0,0.0,0.0,0.0,0.0
edge_olsx_Y_M,0.0,0.0,-0.60009275926184,-0.012303373141372753,0.015355086372360844
edge_ols_I_HC,-0.03906582038736651,-0.0035144585639960146,0.13943446451346458,0.005002832714571026,0.12236084452975048
pair_C_M,-0.10942118226592552,-0.001758783202396308,0.0,0.0,0.014875239923224568
cal_MA,-0.12406847027635426,-0.00259953093889409,0.41399929657295487,0.01313920763640719,0.04366602687140115
edge_ols_I_RB,-0.2586354484591947,-0.011909517425925609,-0.011742376367770459,-0.0007361791684619146,0.0916506717850288
edge_olsx_I_RB,-0.29728931730734914,-0.013252461013918415,0.039819612220026675,0.0006392986198602291,0.05326295585412668
pair_RU_TA,-0.30962491822262805,-0.014913461180690035,-0.3329122277049128,-0.003481304840478039,0.06238003838771593
pair_I_RB,-0.5391579487687881,-0.03531616499831092,0.8277099968441944,0.032016638711422685,0.18570057581573896
edge_ols_C_M,-0.5508986893559168,-0.0009851200132846571,0.0,0.0,0.0009596928982725527
edge_olsx_C_M,-0.5508986893559168,-0.0009851200132846571,0.0,0.0,0.0009596928982725527
edge_intraday_rev1,-0.5642411675899734,-0.04503778233833644,-0.4320723574402468,-0.033026280137927966,1.0
cal_Y,-0.6098677266563928,-0.017155833250953045,-0.13152126990073357,-0.004000607132401912,0.395873320537428
cal_TA,-0.709970163350262,-0.01726531590144942,-0.2319351952546146,-0.0020849234758543167,0.08637236084452975
edge_intraday_rev5,-0.8866348941463702,-0.0700372907647826,-0.661088832529651,-0.0515298919662176,0.9980815347721822
