date,live_v3_unlevered,fixed_IS_vol10,target_vol10,fixed_IS_vol12,target_vol12,fixed_IS_vol14,target_vol14
2018-08-02,0.9970728670985604,0.9830454411070139,0.970533866468206,0.9796080099573065,0.9575375421339677,0.9761556371072617,0.9514031155821531
2018-08-03,0.997493520119404,0.9854243924630796,0.9751650547450725,0.9824527693626212,0.9630205491176532,0.9794628265324193,0.9577589759501063
2018-08-06,0.9998312517149658,0.9986715507666614,1.000916046443808,0.998301421936372,0.9935369020719003,0.9978966494626235,0.9931668698719606
2018-08-07,1.0013879868582,1.0075907436318527,1.0163818736190289,1.009000486604442,1.011959070533572,1.0103738305107406,1.0146513950808789
2018-08-08,1.0005715359638212,1.0028785110737823,1.008531603892939,1.0033378959455224,1.002579739561643,1.0037584828747441,1.003679729538117
2018-08-09,1.0014254400507703,1.0077878625785777,1.0165785545183559,1.0092318163215859,1.0121790932729051,1.0106376057490656,1.0148912628947409
2018-08-10,1.0009081917816283,1.0048020372066275,1.0117236324081824,1.0056436921832672,1.006378399597976,1.0064456299136748,1.0081056532498693
2018-08-13,0.9998500928649651,0.9987090903889806,1.001832187514295,0.9983260316207841,0.9945713770121806,0.9979015513198946,0.9943071516871025
2018-08-14,0.9986954956157097,0.9920937912941891,0.9913347174583252,0.9903907174955682,0.9820657098409776,0.9886476212117857,0.9797210827287499
2018-08-15,0.9978353861910043,0.9871927518071101,0.9837570568129258,0.984519566130635,0.9730575386758582,0.9818100001097902,0.9692366406267579
2018-08-16,0.9968212964793776,0.9814378981021561,0.9749828099129298,0.9776324417318284,0.9626429587348663,0.9737971352777809,0.957134008027906
2018-08-17,0.9988261727811677,0.9927605447215754,0.9919365724240125,0.9911669343567594,0.982729983785264,0.989525430678136,0.9804347590747565
2018-08-20,0.996969341349754,0.9821743000269084,0.9769714270823632,0.978483832769591,0.964938486891864,0.9747529845378946,0.9597264913229334
2018-08-21,0.9961249169559322,0.9774024983214759,0.9705469690103213,0.9727791864698617,0.9573240899758972,0.9681229402215116,0.9508910111783774
2018-08-22,0.9945259687173045,0.968403194781031,0.9585448988672293,0.9620311044562757,0.9431178274318652,0.9556435316811437,0.934428412900696
2018-08-23,0.9944407236342716,0.967927066171225,0.9579295961948898,0.9614635096344204,0.9423913476349536,0.9549857344742301,0.9335886621280968
2018-08-24,0.9945428013693973,0.9684969805486405,0.9586660754946049,0.96214284000546,0.9432607873798209,0.9557729468242672,0.9345935336944123
2018-08-27,0.9953022241168195,0.9727390057952615,0.9641468256290289,0.9671998728720117,0.9497320000191894,0.9616337582389157,0.9420739100975289
2018-08-28,0.9959523306539191,0.9763835292030382,0.9688214220395738,0.9715483970566245,0.9552576486199068,0.9666778403709392,0.9484685185556665
2018-08-29,0.9967267044893258,0.9807381206715631,0.974377844644968,0.9767480296614905,0.9618320059642275,0.9727136672062182,0.9560840899251333
2018-08-30,0.998185135629816,0.9889695972257394,0.9850044363925093,0.9865856142350249,0.9744197257445246,0.9841434438280068,0.9706820012981268
2018-08-31,0.9979566522916825,0.9876710993841914,0.9833689116236776,0.9850311729731133,0.9724781861479761,0.9823344181535707,0.9684255604578853
2018-09-03,0.9986935217705605,0.991854274942182,0.9886688026186352,0.9900375662907379,0.97876762034176,0.98815921981325,0.9757326552674579
