date,v3_eq_tv,v4_core_eq_tv,v4_core_act_tv,v4_ballast_eq_tv,v4_ballast_act_tv
2018-07-26,0.9783281604108672,1.0314184362803995,1.0329805583883385,0.9249590186021797,1.0784838937958368
2018-07-27,0.9862172736488621,1.0369453831708648,1.0392912426297196,0.9318591297296018,1.0837491761253133
2018-07-30,0.9864924768770164,1.0542471011832537,1.0589444459314477,0.9467162895758238,1.095104394104257
2018-07-31,0.9762686361360774,1.0562597310096424,1.0612033301510289,0.9479703110004863,1.0960735684103895
2018-08-01,0.9566011652664755,1.0555704034511457,1.0604342588066167,0.942198266622707,1.0916145146919904
2018-08-02,0.9575375421339677,1.0593883363284347,1.0646726288850643,0.9532682005158096,1.1002124480255817
2018-08-03,0.9630205491176532,1.0603169532465135,1.0656798881330733,0.9645900649125283,1.1088986384099402
2018-08-06,0.9935369020719003,1.0715232304850386,1.077865409711583,0.9812614307158338,1.1216464766158367
2018-08-07,1.011959070533572,1.0715232304850386,1.077865409711583,0.9765067217204998,1.1180679632748636
2018-08-08,1.002579739561643,1.0715232304850386,1.077865409711583,0.9498688969627527,1.0979540512888275
2018-08-09,1.0121790932729051,1.0715232304850386,1.077865409711583,0.9486475046259267,1.0969669287517427
2018-08-10,1.006378399597976,1.0715232304850386,1.077865409711583,0.9456604130924922,1.0945515265682513
2018-08-13,0.9945713770121806,1.0715232304850386,1.077865409711583,0.9525081375192113,1.105625672244469
2018-08-14,0.9820657098409776,1.0715232304850386,1.077865409711583,0.9584949701549338,1.1152668183276697
2018-08-15,0.9730575386758582,1.0715232304850386,1.077865409711583,0.9625430739708302,1.121768367573657
2018-08-16,0.9626429587348663,1.0715232304850386,1.077865409711583,0.9628888027751558,1.1223227948943195
2018-08-17,0.982729983785264,1.069915945639311,1.077865409711583,0.957642622380007,1.1146401840623676
2018-08-20,0.964938486891864,1.0487780847577222,1.0654926980460817,0.9526892611719718,1.1164054942916837
2018-08-21,0.9573240899758972,1.047231816142672,1.063675483251936,0.9452166688172001,1.1104227438219054
2018-08-22,0.9431178274318652,1.0360561725825879,1.05054699739194,0.9466599509053389,1.1115879609263208
2018-08-23,0.9423913476349536,1.0345570419815326,1.048799162764132,0.938662392353327,1.1051245830698349
2018-08-24,0.9432607873798209,1.0491213107930564,1.0657735951154261,0.9448042371142842,1.1101364800436786
2018-08-27,0.9497320000191894,1.0617659869166587,1.080417734466818,0.9342225043615807,1.1013786072207763
2018-08-28,0.9552576486199068,1.0851064360434894,1.1073430969769649,0.9475158968363108,1.1125398310588075
2018-08-29,0.9618320059642275,1.0804546640595538,1.1020490380482177,0.9411078932764333,1.1071104849103623
2018-08-30,0.9744197257445246,1.0828187054607947,1.1047356307241256,0.9458618518052526,1.1111625639407978
2018-08-31,0.9724781861479761,1.0547628761248926,1.0728448966743267,0.9369139951194928,1.103516856775334
2018-09-03,0.97876762034176,1.076640595988147,1.0971353421429728,0.9505100016337774,1.1154081027395473
2018-09-04,0.9795961806389181,1.0765707148190717,1.0970583992129321,0.9533031591663843,1.1178825950323446
2018-09-05,0.9774255595354137,1.066976997582622,1.0864952799681882,0.9486218061082702,1.1137366033979554
2018-09-06,0.9869446979404803,1.0626825665515325,1.081780636667005,0.9512785110461334,1.1161022295587861
2018-09-07,0.9775480997401201,1.0327799253790053,1.048978257329084,0.939593759583041,1.1055284456766306
2018-09-10,0.97083882269239,1.0137639831477963,1.0284805048755485,0.9429603592337685,1.1086170485871283
2018-09-11,0.9725382754471856,1.018331646029637,1.0333708805035493,0.9295309722027413,1.0962989202976117
2018-09-12,0.9772665835370993,1.0308820713872442,1.0468061550162844,0.935901760973798,1.1027896332079734
2018-09-13,0.9791264247715097,1.035750795546724,1.0520086399206443,0.9327114510968735,1.099488705467125
2018-09-14,0.9731464332646175,1.020207965096267,1.035402174376292,0.9220842719943196,1.088450185662715
2018-09-17,0.9681936806611535,1.007925035549186,1.0223318742581764,0.9170928033358071,1.083238505326989
2018-09-18,0.9663346666815762,1.0035848650478265,1.0177250992998523,0.9123770516790753,1.0783074764775396
2018-09-19,0.9635795805981702,0.9972271799740662,1.0109795959725296,0.9075209987836842,1.073212377351683
2018-09-20,0.9659546225618059,1.0026631502988814,1.0167428278314379,0.9128370412972344,1.0788619114043587
2018-09-21,0.9676587049907314,1.0065570032735716,1.0208700826058572,0.9091257599798847,1.0748456357974399
2018-09-25,0.9715555316492863,1.0154630814453756,1.0303092081054204,0.9103652524365826,1.0762016101429899
2018-09-26,0.967293740937393,1.0057970517488204,1.0200722273821974,0.9061453207047137,1.0714806104228034
2018-09-27,0.9690576657350027,1.009735493401479,1.024237077922991,0.9074830805345155,1.0729815204421527
2018-09-28,0.9763227420767238,1.0258626955924628,1.041289154022183,0.9189342633830304,1.0858354552232075
2018-10-08,0.975597060391451,1.0242280392940821,1.03960794104805,0.9207328481153239,1.087877002371291
2018-10-09,0.973884728356798,1.0203810550433468,1.0356513023182343,0.9330134203462329,1.101819530776158
2018-10-10,0.9701295585579348,1.0119938799737056,1.0270271993187183,0.9291755940016218,1.09747017151116
2018-10-11,0.9651525390311324,1.001160541954609,1.0158932215285992,0.91290344411748,1.0790465224088104
2018-10-12,0.9609373512603278,0.9921662962415828,1.0066574531049162,0.9083688284933299,1.0738999159373417
2018-10-15,0.9601141761361786,0.99042787576271,1.0048734169597082,0.900432544430476,1.0648973777596227
2018-10-16,0.961796501068104,0.99398381117439,1.0085234821483384,0.8955023545961025,1.0593013387580317
2018-10-17,0.9536019134805341,0.9763875163720963,0.9904464049869475,0.8897712255978372,1.0527945854123917
2018-10-18,0.9536019134805341,0.9763875163720963,0.9904464049869475,0.8858021994497395,1.0482869519431257
2018-10-19,0.9532282001437894,0.9756163663633985,0.9896555411692645,0.8851655420254174,1.0475643950074622
2018-10-22,0.9446079234436754,0.9573838541822399,0.9709529622063456,0.8729793901649682,1.0337575939684103
2018-10-23,0.9419792127501536,0.9520342930926331,0.9654731842606818,0.868918456576298,1.029150611004771
2018-10-24,0.9427862391654726,0.9536716145707462,0.9671498411320695,0.8676631109252376,1.027726401200922
2018-10-25,0.946404320226429,0.9609826109875698,0.9746367730100349,0.8682129544949377,1.0283498047351105
2018-10-26,0.9374629811869184,0.9430197828765114,0.9562366767103744,0.8601562547470463,1.0192125778139303
2018-10-29,0.9374629811869184,0.9430197828765114,0.9562366767103744,0.8534103366412552,1.0115571138122958
2018-10-30,0.9374629811869184,0.9430197828765114,0.9562366767103744,0.8513404549804159,1.009209967523919
2018-10-31,0.9374629811869184,0.9430197828765114,0.9562366767103744,0.8494834536162245,1.0071114182134275
2018-11-01,0.9374629811869184,0.9430197828765114,0.9562366767103744,0.8494666243950102,1.0070924049289314
2018-11-02,0.9370887006648572,0.9423066177414512,0.955871993153051,0.8551196790645715,1.020659489014474
2018-11-05,0.9397698005359789,0.9474220565938307,0.9584883798165545,0.8571335774633476,1.0194922517050968
2018-11-06,0.9580939702152725,0.9821977487988104,0.9786578348765396,0.8789232982428011,1.0351264074875115
2018-11-07,0.9670048775962935,0.9964417055084134,0.9866843836410267,0.8893335034320278,1.043309084227033
2018-11-08,0.9495693037750546,0.9699035811750697,0.9715111247502509,0.8757819963190294,1.031922207574728
2018-11-09,0.9393055983138039,0.9552400079760864,0.9624959488829917,0.866693825539052,1.0242742362747088
2018-11-12,0.9575646976949895,0.9805562343707713,0.9784558433841261,0.8827225886176235,1.037876050226159
2018-11-13,0.9529782873181387,0.974434606070452,0.9744140395986479,0.8741951383939013,1.031068062529382
2018-11-14,0.9322922131159949,0.9472231732993043,0.9563508766144222,0.8669029787073751,1.023366059748888
2018-11-15,0.9481201836420329,0.9669456248415516,0.970319639998247,0.8824839170344135,1.0372812918935141
2018-11-16,0.9501837947262887,0.9694547980515311,0.9721394564183952,0.8846016282495982,1.0391905733954274
2018-11-19,0.9613363829720883,0.9828819930891279,0.9818747446585948,0.8998807341538799,1.052602643574138
2018-11-20,0.9772351845530836,1.001116124182008,0.9952093815417774,0.9193451367666309,1.0700997057012045
2018-11-21,0.9873831256386608,1.012298014508122,1.003495582424347,0.9326001010085785,1.0820300304555215
2018-11-22,0.9825516511857967,1.0070318418232154,0.9995788047935636,0.9307591558612702,1.0802278699356793
2018-11-23,0.9805693337729238,1.004931435407248,0.9980095328546249,0.9357247333022987,1.0845064121218388
2018-11-26,0.9775178519004794,1.001697987638944,0.9955913071111513,0.9372478163364117,1.0857071086092365
2018-11-27,0.9726600297717377,0.9965380460224288,0.9878324195062903,0.942134375007878,1.0924679623158031
2018-11-28,0.986387752357179,1.0110755141161152,1.0096178726553435,0.9570349063264728,1.113099218591301
2018-11-29,0.986387752357179,1.0110755141161152,1.0096178726553435,0.9618232293162322,1.1196798177811573
2018-11-30,0.986387752357179,1.0110755141161152,1.0096178726553435,0.9637369776287691,1.1223087962303968
2018-12-03,0.986387752357179,1.0110755141161152,1.0096178726553435,0.9571179078945609,1.113207578482108
2018-12-04,0.986387752357179,1.0110755141161152,1.0096178726553435,0.9454949286317018,1.0972519598749655
