symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,PnL,exit_reason,bars_held
ETH-USDT-SWAP,B,2026-07-18 10:37:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.39,2028.8390000000002,0.1,-10046.600849459026,liquidation,46367
ETH-USDT-SWAP,B,2026-07-18 10:38:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.41,2027.7610000000002,0.1,-10093.66868524606,liquidation,46366
ETH-USDT-SWAP,B,2026-07-18 10:39:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.77,2028.1570000000002,0.1,-10075.666659415363,liquidation,46365
ETH-USDT-SWAP,B,2026-07-18 10:40:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.76,2028.1460000000002,0.1,-10074.67137408452,liquidation,46364
ETH-USDT-SWAP,B,2026-07-18 10:41:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.61,2027.981,0.1,-10082.108171266409,liquidation,46363
ETH-USDT-SWAP,B,2026-07-18 10:42:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.33,2027.673,0.1,-10095.66677365485,liquidation,46362
ETH-USDT-SWAP,B,2026-07-18 10:43:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.36,2027.7060000000001,0.1,-10093.124866502389,liquidation,46361
ETH-USDT-SWAP,B,2026-07-18 10:44:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.3700000000001,2027.7170000000003,0.1,-10093.122646601245,liquidation,46360
ETH-USDT-SWAP,B,2026-07-18 10:45:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.72,2028.102,0.1,-10073.938940560149,liquidation,46359
ETH-USDT-SWAP,B,2026-07-18 10:46:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.09,2028.509,0.1,-10054.029702239524,liquidation,46358
ETH-USDT-SWAP,B,2026-07-18 10:47:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.1,2028.52,0.1,-10052.991770281415,liquidation,46357
ETH-USDT-SWAP,B,2026-07-18 10:48:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.16,2028.5860000000002,0.1,-10048.737060093488,liquidation,46356
ETH-USDT-SWAP,B,2026-07-18 10:49:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.16,2028.5860000000002,0.1,-10048.223725338934,liquidation,46355
